# Data to 'Parameterization of two-center Lennard-Jones plus pointquadrupole force field models by multicriteria optimization'
# Three-criteria scenario
Substance sigma epsilon L Q density pressure surface_tension Tc 
O2 3.1685 39.5224 0.78993 0.53216 1.6822 0.40103 24.5451 -1.4025 
O2 3.168 40.1509 0.82681 0.021077 0.63803 0.40118 19.7442 -1.0601 
O2 3.1676 40.1685 0.82766 0.020553 0.63548 0.40145 19.7047 -1.056 
O2 3.1672 40.1867 0.82854 0.020006 0.63283 0.40192 19.6638 -1.0517 
O2 3.1684 40.1503 0.82703 0.021619 0.64266 0.40108 19.6401 -1.0532 
O2 3.1668 40.2047 0.82941 0.019468 0.63018 0.40258 19.6255 -1.0476 
O2 3.1665 40.2201 0.83015 0.019008 0.62782 0.40333 19.5929 -1.044 
O2 3.166 40.2422 0.83121 0.018348 0.62473 0.40453 19.5444 -1.039 
O2 3.1657 40.2595 0.83204 0.017829 0.62216 0.40572 19.5072 -1.035 
O2 3.1653 40.2777 0.83292 0.017286 0.61949 0.40715 19.4682 -1.0308 
O2 3.1648 40.2995 0.83396 0.016633 0.61641 0.40902 19.4214 -1.0259 
O2 3.1644 40.3167 0.83479 0.01612 0.61387 0.41075 19.3841 -1.0219 
O2 3.1641 40.3329 0.83557 0.015633 0.61138 0.41261 19.3509 -1.0183 
O2 3.1636 40.3541 0.83658 0.014999 0.60839 0.41505 19.3054 -1.0135 
O2 3.1631 40.3791 0.83778 0.014251 0.60495 0.41812 19.2521 -1.0079 
O2 3.1628 40.393 0.83844 0.013838 0.60277 0.42023 19.2233 -1.0047 
O2 3.1624 40.4139 0.83944 0.013213 0.59981 0.42326 19.1794 -1 
O2 3.162 40.431 0.84026 0.0127 0.59724 0.42608 19.1434 -0.99611 
O2 3.1619 40.4319 0.8403 0.012674 0.59608 0.42753 19.1383 -0.99518 
O2 3.1618 40.4367 0.84053 0.012531 0.59556 0.4281 19.1284 -0.99419 
O2 3.1593 40.5594 0.84638 0.0088601 0.57993 0.44894 18.8796 -0.96826 
O2 3.1589 40.5769 0.84721 0.0083356 0.57681 0.45365 18.8422 -0.96399 
O2 3.1589 40.5812 0.84742 0.0082064 0.57652 0.45413 18.8346 -0.9633 
O2 3.1587 40.5864 0.84766 0.0080524 0.57516 0.45625 18.8214 -0.96167 
O2 3.1584 40.6036 0.84848 0.0075382 0.57255 0.46049 18.7853 -0.95773 
O2 3.1578 40.6312 0.84979 0.0067132 0.56887 0.46668 18.7299 -0.95186 
O2 3.1572 40.6612 0.85121 0.0058145 0.56493 0.47359 18.6708 -0.94559 
O2 3.1568 40.6773 0.85198 0.0053345 0.56238 0.47821 18.6365 -0.94182 
O2 3.1563 40.7012 0.85311 0.0046173 0.55903 0.48444 18.5882 -0.93663 
O2 3.1557 40.7286 0.8544 0.0037999 0.55532 0.49157 18.534 -0.93083 
O2 3.1553 40.7472 0.85528 0.0032432 0.5525 0.49713 18.4951 -0.92659 
O2 3.1547 40.7798 0.85682 0.002266 0.54819 0.50588 18.4316 -0.91981 
O2 3.1541 40.8051 0.85802 0.0015095 0.54469 0.51319 18.3813 -0.9144 
O2 3.1536 40.8288 0.85914 0.00080035 0.54134 0.52033 18.3336 -0.90925 
O2 3.1531 40.8556 0.8604 0 0.53767 0.52838 18.2812 -0.90359 
O2 3.1526 40.8775 0.86143 0.0016088 0.53467 0.53505 18.2384 -0.89898 
O2 3.1522 40.8994 0.86246 0.0032188 0.53166 0.54189 18.1954 -0.89434 
O2 3.1517 40.9219 0.86352 0.0048743 0.52859 0.549 18.1515 -0.8896 
O2 3.1513 40.9434 0.86453 0.0064555 0.52563 0.55593 18.1094 -0.88504 
O2 3.1508 40.9668 0.86562 0.0081732 0.52247 0.56346 18.0644 -0.88018 
O2 3.1503 40.9907 0.86674 0.0099316 0.51926 0.57125 18.0187 -0.87524 
O2 3.1498 41.0136 0.86782 0.011612 0.51615 0.57888 17.9746 -0.87046 
O2 3.1494 41.0341 0.86878 0.013121 0.51329 0.586 17.9338 -0.86605 
O2 3.1488 41.062 0.87008 0.015171 0.50966 0.59515 17.8821 -0.86046 
O2 3.1484 41.0837 0.8711 0.016765 0.50668 0.60278 17.8402 -0.8559 
O2 3.1479 41.1072 0.87219 0.018487 0.50352 0.61096 17.7956 -0.85106 
O2 3.1473 41.1369 0.87358 0.020671 0.49972 0.6209 17.7413 -0.84519 
O2 3.1469 41.1562 0.87448 0.022092 0.49696 0.62823 17.703 -0.841 
O2 3.1463 41.1845 0.87579 0.024168 0.49334 0.63794 17.6515 -0.83542 
O2 3.1458 41.2077 0.87688 0.025875 0.49023 0.64635 17.6079 -0.83067 
O2 3.1455 41.2205 0.87748 0.026816 0.48794 0.65265 17.5777 -0.82728 
O2 3.1443 41.2812 0.88029 0.031275 0.48095 0.67202 17.476 -0.81637 
O2 3.144 41.2946 0.88091 0.032259 0.47896 0.67759 17.449 -0.81338 
O2 3.1437 41.3077 0.88153 0.033224 0.47685 0.68355 17.4207 -0.81023 
O2 3.1429 41.3476 0.88337 0.036153 0.47217 0.69689 17.3535 -0.80297 
