T (K)	P (kPa)	uP (kPa)
266.156	6.0928	0.613
266.256	6.17949	0.621
266.765	6.27282	0.631
267.415	6.5461	0.653
268.054	6.8794	0.693
268.114	6.7861	0.68
268.364	6.7994	0.68
268.464	6.8661	0.693
268.803	7.0528	0.707
269.283	7.1727	0.72
269.443	7.3461	0.733
269.733	7.3461	0.733
270.522	7.7194	0.773
270.752	7.706	0.773
271.132	7.866	0.787
271.351	7.8527	0.787
272.091	8.2927	0.84
272.301	8.426	0.853
273.2	8.8	
273.34	9.0393	0.907
273.46	8.69928	0.875
273.46	8.666	0.867
274.369	9.3059	0.933
275.179	9.85919	0.991
275.928	10.0992	1.01
275.988	10.1992	1.03
276.508	10.5591	1.05
276.578	10.7124	1.08
277.098	10.9991	1.11
277.407	10.8524	1.09
277.897	11.4124	1.15
278.427	11.739	1.18
278.597	11.7057	1.17
279.526	12.2257	1.23
279.726	12.039	1.2
280.286	12.7723	1.28
280.695	13.0189	1.31
282.504	14.3855	1.44
283.024	14.5055	1.45
283.198	14.7	
283.544	14.9054	1.49
283.584	15.0588	1.51
283.664	15.1121	1.52
285.283	16.452	1.65
285.343	16.2387	1.63
285.453	16.9653	1.71
285.772	16.732	1.68
286.602	17.1053	1.71
287.441	17.8185	1.79
288.221	18.7451	1.88
288.731	19.1584	1.92
289.12	19.6517	1.97
292.438	22.8448	2.3
293.058	23.3914	2.35
293.195	23.1	
294.098	24.1647	2.43
294.248	25.1446	2.53
295.337	25.2979	2.54
296.737	26.8778	2.69
298.186	28.7	
298.856	29.3642	2.95
299.575	30.7041	3.08
300.175	31.1841	3.12
300.825	32.424	3.25
301.365	34.0239	3.41
301.685	33.4639	3.36
301.934	33.4039	3.36
302.314	34.4772	3.45
303.193	35.3	
303.384	36.7436	3.69
304.893	37.9835	3.8
305.313	38.3702	3.84
305.833	39.1168	3.93
306.093	40.6767	4.09
306.773	40.7833	4.08
307.532	42.0032	4.22
307.812	42.7965	4.31
307.912	42.7298	4.28
308.732	44.5297	4.45
308.812	45.4496	4.57
310.111	46.6962	4.69
310.351	46.7828	4.68
310.571	47.5961	4.79
311.131	48.6493	4.87
311.621	50.5292	5.08
311.701	50.6358	5.09
311.741	50.0959	5.03
313.19	52.4	
313.35	53.129	5.32
313.71	53.4756	5.36
314.6	56.182	5.65
314.979	55.8087	5.61
316.669	59.9017	6
317.369	61.9949	6.23
317.729	63.2348	6.36
317.779	63.3681	6.37
318.628	63.7548	6.41
319.768	67.5411	6.76
319.988	68.1677	6.85
320.778	69.0877	6.95
321.827	72.0607	7.24
322.347	74.4339	7.48
323.327	75.6338	7.6
326.786	86.2862	8.64
327.226	84.8064	8.52
329.125	91.8591	9.23
329.125	93.619	9.37
330.775	99.9651	10.1
331.125	101.191	10.1
331.125	98.82	
331.624	100.578	10.1
332.024	101.32	
332.594	102.018	1.02
337.304	122.763	12.3
339.624	130.936	13.1
340.944	137.455	13.7
342.164	143.455	14.4
343.984	150.388	15.1
347.264	167.186	16.8
349.223	176.652	17.7
350.563	183.985	18.4
352.143	191.718	19.2
353.343	198.25	19.9
354.323	203.983	20.4
355.133	210.383	21.1
355.843	213.849	21.5
357.183	222.515	22.3
357.903	226.781	22.7
358.603	231.314	23.2
359.723	237.18	23.7
361.283	248.646	24.9
362.483	255.312	25.6
