T (K)	rhol (kg/m3)	urho (kg/m3)
273.15	3191	5
278.147	3174	5
282.245	3157.08	0.2
283.144	3156	4
288.141	3140	4
293.138	3122	4
298.136	3106	4
303.134	3088	4
303.698	3074	61
308.132	3070	4
313.13	3053	4
313.871	3069	61
316.016	3047	61
318.129	3036	4
319.027	3025	61
322.48	3011	60
323.127	3019	4
331.761	2978	60
336.737	2973	59
347.989	2963	59
353.165	2941	59
362.614	2856	57
376.235	2830	57
390.896	2760	55
411.851	2703	54
431.481	2619	52
452.45	2576	52
470.362	2505	50
490.856	2414	48
510.006	2275	46
530.29	2195	44
550.889	2019	40
560.471	1936	39
569.859	1868	37
574.978	1769	35
578.637	1682	34
584.185	1260	40
