T (K)	P (kPa)	uP (kPa)
260	0.2248	0.00782
283.15	1.023	0.026
283.15	1.023	0.026
283.15	1.023	0.023
283.15	1.023	0.022
288.15	1.4	0.027
288.15	1.4	0.027
288.15	1.4	0.026
288.15	1.4	0.022
293.15	1.861	0.028
293.15	1.861	0.028
293.15	1.861	0.028
293.15	1.861	0.022
298.15	2.448	
298.15	2.448	0.015
298.15	2.462	0.029
298.15	2.462	0.029
298.15	2.462	0.03
298.15	2.462	0.023
301.031	2.8691	0.0147
303.15	3.212	0.032
303.15	3.205	0.031
303.15	3.205	0.031
303.15	3.205	0.033
303.15	3.205	0.023
307.75	4	0.02
308.15	4.117	0.033
308.15	4.117	0.033
308.15	4.117	0.037
308.15	4.117	0.024
308.899	4.27432	0.016
310.229	4.5236	0.0176
311.25	4.73	0.02
313.15	5.253	0.035
313.15	5.253	0.036
313.15	5.253	0.041
313.15	5.253	0.025
314.45	5.56	0.02
314.842	5.68887	0.0187
315.95	6	0.201
316.3	6.2	0.3
318.15	6.621	0.039
318.15	6.621	0.039
318.15	6.621	0.047
318.15	6.621	0.027
318.45	6.7	0.02
319.377	6.96741	0.0206
319.64	7.10075	0.0267
321.75	7.89	0.02
323.15	8.286	0.043
323.15	8.286	0.043
323.15	8.286	0.054
323.15	8.286	0.028
324.4	8.9	0.3
324.45	8.88	0.02
325.807	9.30588	0.0241
327.05	9.94	0.02
329.35	10.94	0.03
330.2	11.2764	0.028
331.35	11.91	0.03
331.832	12.0456	0.0286
333.25	12.89	0.03
334.388	13.4122	0.032
336.404	14.5494	0.033
336.95	14.97	0.03
337	15	0.3
338.35	15.88	0.03
339.95	16.91	0.04
341.198	17.6199	0.04
341.45	17.92	0.04
341.677	17.9211	0.0391
342.9	19.1	0.3
343.15	19.2	0.3
344.15	19.9	0.04
344.35	20	0.76
344.35	20	0.02
344.35	20	0.1
345.55	20.98	0.04
346.195	21.3142	0.0455
347.35	22.47	0.04
347.66	22.5408	0.048
349.15	24.06	0.05
351.295	25.7805	0.054
352.299	26.66	0.07
355.085	29.5549	0.0613
355.35	30.15	0.06
355.42	29.9228	0.062
356.5	31.6	0.3
360.05	35.47	0.07
360.31	35.493	0.073
361.182	36.557	0.0747
364.55	41.21	0.07
364.917	41.4698	0.0846
367.693	45.4656	0.0907
368.05	46.3	0.08
370.416	49.7038	0.101
371.15	51.07	0.09
372.042	52.3157	0.104
373.074	53.33	4.18
374.45	56.58	0.1
377.054	61.2948	0.124
377.393	61.8749	0.121
377.55	62.34	0.11
379.473	66.66	4.25
380.295	67.7011	0.0337
380.815	68.6944	0.133
381.05	69.2	0.12
383.95	75.34	0.13
384.67	77.1254	0.155
386.35	80.71	0.14
388.55	85.92	0.15
390.55	90.86	0.16
391.45	94.8	0.2
391.75	95	10
391.85	95	4.85
391.85	95	1
391.85	94.7	2.9
391.85	94.7	0.3
391.95	95.3	2
391.971	93.33	4.3
392.05	94.6	0.13
392.05	95.23	5
392.15	95.5	4
392.15	95.6	1
392.25	95.8	9.6
392.25	95.75	9
392.25	95.75	4.84
392.35	95.63	0.16
392.627	101.325	15.2
392.77	97.3371	0.196
393.127	99.5918	31.7
393.627	100.485	10
393.85	99.53	0.17
393.927	101.325	0.507
394.02	101.325	1.01
394.12	101.325	0.507
394.127	101.325	1.52
394.147	101.325	0.355
394.147	101.325	0.0472
394.15	101.325	0.101
394.15	100	0.1
394.15	100	0.1
394.15	101.3	2.53
394.15	101.325	1.01
394.15	101.325	2.08
394.157	101.325	0.101
394.17	101.325	0.557
394.18	101.325	1.52
394.2	101.325	0.203
394.2	101.325	1.01
394.21	101.32	0.08
394.22	101.325	0.101
394.22	101.325	0.507
394.22	101.325	1.01
394.22	101.325	1.01
394.227	101.325	2.03
394.227	101.325	2.53
394.25	101.325	2.03
394.25	101.325	1.01
394.25	101.325	1.01
394.25	101.33	1.11
394.27	101.325	0.507
394.27	101.325	1.01
394.327	101.325	1.52
394.35	101.33	0.507
394.35	101	1
394.35	101.325	0.709
394.42	101.325	1.01
394.45	101.325	10.2
394.45	101.325	10.1
394.45	101.325	0.507
394.45	101.325	1.06
394.52	101.33	8.11
394.55	101.41	0.18
394.627	101.325	7.6
