T (K)	rhol (kg/m3)	urho (kg/m3)
253.117	1688.82	0.3
253.118	1688.82	0.3
253.12	1688.82	0.3
258.1	1680.59	0.3
258.101	1680.59	0.3
263.137	1672.27	0.3
263.139	1672.27	0.3
268.123	1664.03	0.3
273.146	1655.73	0.3
273.147	1655.73	0.3
273.149	1655.72	0.3
278.146	1647.46	0.3
278.146	1647.46	0.3
283	1638.5	3.1
283.144	1639.08	0.403
283.161	1639.17	0.3
283.162	1639.17	0.3
288	1630.5	3
288.152	1630.91	0.3
288.152	1630.91	0.3
293	1623.4	2.9
293.095	1622.8	1.04
293.138	1620.7	17.7
293.138	1623	0.6
293.138	1622.7	0.2
293.138	1622.68	0.2
293.138	1622.72	0.395
293.138	1622.79	0.4
293.145	1622.61	2.22
293.145	1623	2.7
293.145	1623	1
293.145	1622.8	0.7
293.145	1623.09	0.37
293.145	1622.97	0.365
293.15	1623	0.9
293.15	1622.99	5.01
293.15	1622.5	3.6
293.15	1622.37	1.03
293.15	1625	5
293.15	1625	5
293.15	1625	5
293.15	1622.8	5.1
293.15	1622.8	1.5
293.15	1623	0.6
293.15	1622.8	5.3
293.15	1622.8	1.5
293.15	1622.4	0.417
293.15	1622.75	1.23
293.15	1623	1.8
293.17	1622.58	0.3
293.172	1622.58	0.3
297.15	1615.6	1.8
298	1615.2	2.9
298.094	1614.42	1.84
298.094	1614.32	5.67
298.136	1614.44	0.2
298.136	1614.4	0.6
298.144	1614.46	1.69
298.144	1614.1	0.5
298.144	1614.4	0.7
298.144	1614.1	0.8
298.15	1614.8	23.1
298.15	1614.8	1.2
298.15	1613.09	10
298.15	1614.26	0.39
298.15	1614.36	5
298.15	1614.66	1.03
298.15	1614.7	1.8
298.15	1614.32	0.37
298.15	1614.3	6
298.15	1615	5
298.15	1614.3	5
298.15	1614.3	1
298.15	1614.7	3.5
298.15	1614.3	18.7
298.15	1614.49	0.79
298.15	1614.2	0.4
298.15	1614.49	0.79
298.15	1614.43	1.21
298.15	1614.8	0.8
298.15	1614.76	17.9
298.158	1614.3	0.3
298.158	1614.3	0.3
300.45	1610.7	1.8
301.15	1609.2	1.8
302.984	1606.3	0.5
303	1607.2	3
303.084	1606.2	3.3
303.093	1602	18
303.093	1606.4	1.3
303.1	1606.4	1.1
303.134	1606.17	0.387
303.134	1606.36	0.45
303.14	1605.99	0.3
303.141	1605.99	0.3
303.143	1606.39	6.55
303.143	1606.34	1.84
303.143	1606.34	1.66
303.143	1606.34	1.66
303.143	1606.34	6.56
303.143	1606.36	1
303.143	1606.36	18.4
303.143	1606.35	22.9
303.143	1606.34	1.84
303.143	1606.34	3.53
303.143	1606.35	3.53
303.15	1606.5	22.9
303.15	1606.36	18.5
303.15	1606.36	5.26
303.15	1606.36	1.69
303.15	1606.35	14.4
303.15	1606.36	1.55
303.15	1606.37	1.66
303.15	1606.4	1.5
303.15	1606.36	1.66
303.15	1606.37	0.93
303.15	1606.36	0.55
303.15	1606.36	18.4
303.15	1606.52	1.03
303.15	1606.36	3.05
303.15	1606.41	1.66
303.15	1606.4	5.58
303.15	1606.9	3.6
303.15	1606.36	2.71
303.15	1606.39	1.55
303.15	1606.39	14.4
303.15	1607.24	17.7
306.95	1599.6	1.9
308	1599.2	3
308.074	1597.76	0.3
308.075	1597.76	0.3
308.15	1598	1.2
308.15	1599	3.6
308.15	1597.9	0.8
308.15	1597.98	17.5
310.05	1594.4	1.9
313.13	1589.42	0.379
313.14	1589.99	0.36
313.14	1589.87	0.351
313.144	1589.26	0.3
313.145	1589.27	0.3
313.15	1589.87	3.11
313.15	1590	6.1
313.15	1590.53	17.3
313.95	1588.1	1.9
315.35	1585.7	1.9
318.211	1580.74	0.3
318.212	1580.74	0.3
323.127	1572.48	0.371
333.124	1555.45	0.484
343.124	1538.08	0.473
353.123	1520.75	0.463
363.123	1503.04	0.452
373.124	1485.53	0.441
393.127	1448.4	1
393.127	1448.9	1

