T (K)	P (kPa)	Avg uP (kPa)
260.0	0.2248	0.003673036915460577
283.15	1.023	0.016714932226495418
283.15	1.023	0.016714932226495418
283.15	1.023	0.016714932226495418
283.15	1.023	0.016714932226495418
288.15	1.4	0.022874785060697542
288.15	1.4	0.022874785060697542
288.15	1.4	0.022874785060697542
288.15	1.4	0.022874785060697542
293.15	1.861	0.03040712499854152
293.15	1.861	0.03040712499854152
293.15	1.861	0.03040712499854152
293.15	1.861	0.03040712499854152
298.15	2.448	0.03999819559184827
298.15	2.4619999999999997	0.04022694344245525
298.15	2.4619999999999997	0.04022694344245525
298.15	2.4619999999999997	0.04022694344245525
298.15	2.4619999999999997	0.04022694344245525
301.031	2.8691	0.04687860415546237
303.15	3.2119999999999997	0.05248129258211465
303.15	3.205	0.05236691865681116
303.15	3.205	0.05236691865681116
303.15	3.205	0.05236691865681116
303.15	3.205	0.05236691865681116
307.75	4.0	0.06535652874485012
308.15	4.117	0.06726820721063699
308.15	4.117	0.06726820721063699
308.15	4.117	0.06726820721063699
308.15	4.117	0.06726820721063699
308.899	4.2743199999999995	0.06983867948617194
310.22900000000004	4.5236	0.073911698357551
311.25	4.73	0.07728409524078528
313.15	5.252999999999999	0.08582946137417441
313.15	5.252999999999999	0.08582946137417441
313.15	5.252999999999999	0.08582946137417441
313.15	5.252999999999999	0.08582946137417441
314.45	5.56	0.09084557495534167
314.842	5.68887	0.09295119892017888
315.95	6.0	0.09803479311727518
316.3	6.2	0.10130261955451769
318.15	6.621	0.10818139420491317
318.15	6.621	0.10818139420491317
318.15	6.621	0.10818139420491317
318.15	6.621	0.10818139420491317
318.45	6.7	0.10947218564762395
319.377	6.967410000000001	0.11384143298553906
319.64	7.10075	0.11602009287124862
321.75	7.89	0.12891575294921687
323.15	8.286	0.135386049294957
323.15	8.286	0.135386049294957
323.15	8.286	0.135386049294957
323.15	8.286	0.135386049294957
324.4	8.9	0.14541827645729152
324.45	8.88	0.14509149381356728
325.807	9.30588	0.15205000342903147
327.05	9.94	0.16241097393095255
329.35	10.94	0.17875010611716508
330.2	11.2764	0.18424659018460698
331.35	11.91	0.19459906433779126
331.832	12.0456	0.19681465066224166
333.25	12.89	0.21061141388027954
334.38800000000003	13.4122	0.21914370870791972
336.404	14.5494	0.2377245698300806
336.95	14.97	0.2445968088276016
337.0	15.0	0.24508698279318797
338.35	15.88	0.259465419117055
339.95	16.91	0.2762947252688539
341.19800000000004	17.6199	0.2878938752078462
341.45	17.92	0.2927972487769286
341.67699999999996	17.9211	0.2928152218223334
342.9	19.1	0.31207742475665934
343.15	19.2	0.31371133797528056
344.15	19.9	0.3251487305056293
344.35	20.0	0.3267826437242506
344.35	20.0	0.3267826437242506
344.35	20.0	0.3267826437242506
345.55	20.98	0.3427949932667389
346.195	21.3142	0.3482555312433711
347.35	22.47	0.3671403002241955
347.66	22.5408	0.36829711078297944
349.15	24.06	0.3931195204002735
351.295	25.7805	0.42123099732665215
352.29900000000004	26.66	0.43560126408442607
355.085	29.5549	0.4829014178502927
355.35	30.15	0.4926248354143078
355.42	29.9228	0.4889125845816003
356.5	31.6	0.516316577084316
360.05	35.47	0.5795490186449584
360.31	35.493	0.5799248186852414
361.18199999999996	36.556999999999995	0.5973096553313714
364.55	41.21	0.6733356373938184
364.917	41.4698	0.6775805439357964
367.69300000000004	45.4656	0.7428684483254645
368.05	46.3	0.7565018202216401
370.416	49.7038	0.8121169583570704
371.15	51.07	0.834439480749874
372.042	52.3157	0.8547931377142389
373.074	53.33	0.8713659194907143
374.45	56.58	0.924468099095905
377.05400000000003	61.2948	1.0015038395274598
377.39300000000003	61.8749	1.0109821701086816
377.55	62.34	1.0185815004884893
379.473	66.66	1.0891665515329272
380.295	67.7011	1.1061772220519932
380.815	68.6944	1.1224068820525581
381.05	69.2	1.1306679472859071
383.95	75.34	1.230990218909252
384.67	77.1254	1.2601621055145158
386.35	80.71	1.3187313587492133
388.55	85.92	1.4038582374393807
390.55	90.86	1.4845735504392705
391.45	94.8	1.5489497312529479
391.75	95.0	1.5522175576901904
391.85	95.0	1.5522175576901904
391.85	95.0	1.5522175576901904
391.85	94.7	1.5473158180343267
391.85	94.7	1.5473158180343267
391.95	95.3	1.5571192973460541
391.971	93.33	1.5249312069392156
392.05	94.6	1.5456819048157053
392.05	95.23	1.5559755580930195
392.15	95.5	1.5603871237832967
392.15	95.6	1.5620210370019179
392.25	95.8	1.5652888634391604
392.25	95.75	1.5644719068298498
392.25	95.75	1.5644719068298498
392.35	95.63	1.5625112109675043
392.62699999999995	101.325	1.6555625687679847
392.77	97.3371	1.5904037435225877
393.12699999999995	99.5918	1.6272435848628413
393.62699999999995	100.485	1.641837697731566
393.85	99.53	1.6262338264937333
393.92699999999996	101.325	1.6555625687679847
394.02	101.325	1.6555625687679847
394.12	101.325	1.6555625687679847
394.12699999999995	101.325	1.6555625687679847
394.147	101.325	1.6555625687679847
394.147	101.325	1.6555625687679847
394.15	101.325	1.6555625687679847
394.15	100.0	1.633913218621253
394.15	100.0	1.633913218621253
394.15	101.3	1.6551540904633293
394.15	101.325	1.6555625687679847
394.15	101.325	1.6555625687679847
394.157	101.325	1.6555625687679847
394.17	101.325	1.6555625687679847
394.18	101.325	1.6555625687679847
394.2	101.325	1.6555625687679847
394.2	101.325	1.6555625687679847
394.21	101.32	1.6554808731070536
394.22	101.325	1.6555625687679847
394.22	101.325	1.6555625687679847
394.22	101.325	1.6555625687679847
394.22	101.325	1.6555625687679847
394.227	101.325	1.6555625687679847
394.227	101.325	1.6555625687679847
394.25	101.325	1.6555625687679847
394.25	101.325	1.6555625687679847
394.25	101.325	1.6555625687679847
394.25	101.33	1.6556442644289158
394.27	101.325	1.6555625687679847
394.27	101.325	1.6555625687679847
394.327	101.325	1.6555625687679847
394.35	101.33	1.6556442644289158
394.35	101.0	1.6502523508074656
394.35	101.325	1.6555625687679847
394.42	101.325	1.6555625687679847
394.45	101.325	1.6555625687679847
394.45	101.325	1.6555625687679847
394.45	101.325	1.6555625687679847
394.45	101.325	1.6555625687679847
394.52	101.33	1.6556442644289158
394.55	101.41	1.6569513950038126
394.62699999999995	101.325	1.6555625687679847
