T (K)	rhol (kg/m3)	Avg urho (kg/m3)
253.11700000000002	1688.82	3.4793095353087296
253.118	1688.82	3.4793095353087296
253.12	1688.82	3.4793095353087296
258.1	1680.59	3.4623540767781633
258.101	1680.59	3.4623540767781633
263.137	1672.27	3.4452132001105675
263.139	1672.27	3.4452132001105675
268.123	1664.03	3.428237139564776
273.14599999999996	1655.73	3.4111374669276318
273.147	1655.73	3.4111374669276318
273.149	1655.72	3.411116864912406
278.14599999999996	1647.46	3.3940996003361636
278.14599999999996	1647.46	3.3940996003361636
283.0	1638.5	3.3756401946941375
283.144	1639.08	3.376835111577215
283.161	1639.17	3.3770205297142444
283.16200000000003	1639.17	3.3770205297142444
288.0	1630.5	3.359158582513757
288.152	1630.91	3.360003265138002
288.152	1630.91	3.360003265138002
293.0	1623.4	3.34453115170367
293.095	1622.8	3.343295030790141
293.138	1620.7	3.3389686075927916
293.138	1623.0	3.343707071094651
293.138	1622.7	3.3430890106378865
293.138	1622.68	3.3430478066074354
293.138	1622.72	3.3431302146683373
293.138	1622.79	3.3432744287749157
293.145	1622.61	3.342903592500857
293.145	1623.0	3.343707071094651
293.145	1623.0	3.343707071094651
293.145	1622.8	3.343295030790141
293.145	1623.09	3.34389248923168
293.145	1622.97	3.3436452650489743
293.15	1623.0	3.343707071094651
293.15	1622.99	3.343686469079425
293.15	1622.5	3.3426769703333767
293.15	1622.37	3.3424091441354453
293.15	1625.0	3.347827474139746
293.15	1625.0	3.347827474139746
293.15	1625.0	3.347827474139746
293.15	1622.8	3.343295030790141
293.15	1622.8	3.343295030790141
293.15	1623.0	3.343707071094651
293.15	1622.8	3.343295030790141
293.15	1622.8	3.343295030790141
293.15	1622.4	3.3424709501811223
293.15	1622.75	3.343192020714014
293.15	1623.0	3.343707071094651
293.17	1622.58	3.3428417864551805
293.172	1622.58	3.3428417864551805
297.15	1615.6	3.3284615798277986
298.0	1615.2	3.32763749921878
298.094	1614.42	3.326030542031193
298.094	1614.32	3.3258245218789377
298.13599999999997	1614.44	3.326071746061644
298.13599999999997	1614.4	3.325989338000742
298.144	1614.46	3.326112950092095
298.144	1614.1	3.325371277543977
298.144	1614.4	3.325989338000742
298.144	1614.1	3.325371277543977
298.15	1614.8	3.3268134186097607
298.15	1614.8	3.3268134186097607
298.15	1613.09	3.3232904740062046
298.15	1614.26	3.325700909787585
298.15	1614.36	3.3259069299398396
298.15	1614.66	3.3265249903966043
298.15	1614.7	3.326607398457506
298.15	1614.32	3.3258245218789377
298.15	1614.3	3.325783317848487
298.15	1615.0	3.3272254589142705
298.15	1614.3	3.325783317848487
298.15	1614.3	3.325783317848487
298.15	1614.7	3.326607398457506
298.15	1614.3	3.325783317848487
298.15	1614.49	3.326174756137771
298.15	1614.2	3.3255772976962326
298.15	1614.49	3.326174756137771
298.15	1614.43	3.3260511440464184
298.15	1614.8	3.3268134186097607
298.15	1614.76	3.326731010548859
298.158	1614.3	3.325783317848487
298.158	1614.3	3.325783317848487
300.45	1610.7	3.3183665923673162
301.15	1609.2	3.315276290083495
302.98400000000004	1606.3	3.3093017056681067
303.0	1607.2	3.3111558870384
303.084	1606.2	3.309095685515852
303.093	1602.0	3.3004428391211524
303.093	1606.4	3.3095077258203616
303.1	1606.4	3.3095077258203616
303.134	1606.17	3.3090338794701757
303.134	1606.36	3.3094253177594593
303.14	1605.99	3.308663043196117
303.14099999999996	1605.99	3.308663043196117
303.143	1606.39	3.309487123805136
303.143	1606.34	3.3093841137290085
303.143	1606.34	3.3093841137290085
303.143	1606.34	3.3093841137290085
303.143	1606.34	3.3093841137290085
303.143	1606.36	3.3094253177594593
303.143	1606.36	3.3094253177594593
303.143	1606.35	3.309404715744234
303.143	1606.34	3.3093841137290085
303.143	1606.34	3.3093841137290085
