T (K)	P (kPa)	uP (kPa)
147.712	2.2265	0.0133
147.992	2.2798	0.0133
152.346	3.5864	0.0267
152.937	3.813	0.0267
155.789	5.0396	0.0267
158.912	6.7328	0.0267
159.363	6.9994	0.0267
164.177	10.6258	0.04
168.591	15.2387	0.04
169.722	16.6253	0.0533
172.885	21.7982	2.19
172.935	21.2249	0.0667
175.386	25.3446	0.0667
175.857	26.2778	0.08
177.388	30.3308	3.05
178.058	30.6375	0.08
178.308	31.1841	0.08
179.269	33.3173	0.0933
180.269	35.6371	0.0933
180.94	37.4236	0.0933
182.05	40.13	0.107
182.891	44.1297	4.44
183.001	42.7165	0.107
184.411	46.7695	0.12
186.582	53.6223	0.133
187.193	57.5953	5.79
188.313	59.5951	0.147
190.154	66.5545	0.16
191.784	73.2073	0.173
191.995	75.5271	7.59
193.345	80.1267	0.2
196.105	93.5123	0.227
196.105	93.5656	0.227
196.895	101.325	10.1
198.455	106.325	0.253
200.655	119.43	0.28
202.885	134.069	0.307
203.095	141.825	14.2
205.485	152.801	0.347
206.705	162.36	0.373
207.035	164.826	0.373
207.545	169.133	0.387
208.456	176.666	0.4
213.096	225.803	22.6
223.088	344.945	34.5
233.082	508.144	50.8
243.074	724.984	72.5
248.2	864	7
248.2	864	5
248.3	866	8
253.067	1005.81	101
253.34	1017	8
253.34	1017	5
263	1357	10
263.06	1361.09	136
263.18	1367	9
263.18	1367	6
273.107	1801.46	180
273.14	1804	11
273.14	1804	7
283.118	2331.88	233
283.19	2340	12
283.19	2340	7
293.223	2965.78	297
303.432	3712.62	371
306.883	3943.8	68.9
