T (K)	P (kPa)	Avg uP (kPa)
147.71200000000002	2.2265	0.06432017578666593
147.99200000000002	2.2798	0.0658599311737889
152.346	3.5864	0.10360560450990285
152.937	3.813	0.1101517315403356
155.789	5.0396	0.14558632737232502
158.912	6.7328	0.19450028274712078
159.363	6.9994	0.20220194852961576
164.17700000000002	10.6258	0.3069630917915809
168.59099999999998	15.2387	0.4402227095262817
169.722	16.6253	0.48027946036652014
172.885	21.7982	0.6297166206300927
172.935	21.2249	0.6131548614661603
175.386	25.3446	0.7321666863879333
175.857	26.2778	0.7591254054735459
177.388	30.3308	0.8762103695262551
178.058	30.6375	0.8850704629076925
178.308	31.1841	0.9008608999546235
179.269	33.3173	0.9624857816021042
180.269	35.6371	1.0295012515279551
180.94	37.4236	1.0811105010419364
182.05	40.13	1.1592942530064694
182.891	44.1297	1.2748394616720555
183.00099999999998	42.7165	1.2340142775616958
184.41099999999997	46.7695	1.3510992416144048
186.582	53.6223	1.5490661406177124
187.19299999999998	57.5953	1.663840027166297
188.313	59.5951	1.72161118707565
190.15400000000002	66.5545	1.9226575968532036
191.78400000000002	73.2073	2.1148468020961997
191.995	75.5271	2.181862272022051
193.345	80.1267	2.314737673121691
196.105	93.5123	2.7014271611118077
196.105	93.5656	2.702966916498931
196.895	101.325	2.92712410131773
198.455	106.325	3.071566445325513
200.655	119.43	3.4501498289699137
202.885	134.069	3.8730481237559014
203.095	141.825	4.097107087780775
205.485	152.80100000000002	4.414186921346661
206.705	162.36	4.690331794620742
207.035	164.826	4.76157075868538
207.545	169.13299999999998	4.885993393813684
208.456	176.666	5.1036102292958105
213.09599999999998	225.803	6.523102920797901
223.088	344.945	9.964932870752966
233.082	508.144	14.679502090698215
243.074	724.9839999999999	20.94367766562776
248.2	864.0	24.959637044544966
248.2	864.0	24.959637044544966
248.3	866.0	25.017413982148078
253.067	1005.81	29.056310805293716
253.34	1017.0	29.379572771183135
253.34	1017.0	29.379572771183135
263.0	1357.0	39.2016521637124
263.06	1361.09	39.31980600111077
263.18	1367.0	39.490536851727974
263.18	1367.0	39.490536851727974
273.107	1801.46	52.04142100725228
273.14	1804.0	52.114797718008234
273.14	1804.0	52.114797718008234
283.118	2331.88	67.36444262897398
283.19	2340.0	67.59901699564261
283.19	2340.0	67.59901699564261
293.223	2965.78	85.67684300228075
303.432	3712.62	107.25190704203533
306.883	3943.8	113.9303432595792
