T (K)	rhol (kg/m3)	Avg urho (kg/m3)
173.185	1616.0	8.163306995183687
183.09099999999998	1575.0	7.956193389489051
193.095	1533.0	7.744028232436009
196.895	1519.0	7.673306513418329
203.095	1492.0	7.536914626741374
213.09599999999998	1450.0	7.324749469688332
223.088	1409.0	7.117635863993697
233.082	1368.0	6.9105222582990615
243.074	1325.0	6.693305549887614
253.067	1274.0	6.435676430608921
263.06	1216.0	6.142686451821388
273.107	1151.0	5.814335613525015
281.11400000000003	1093.0	5.5213456347374805
283.118	1078.0	5.445572364361395
293.223	972.0	4.910107920370385
303.432	815.0	4.117014357100683
306.883	580.0	2.929899787875333
306.883	584.3	2.9516214587164775
