T (K)	P (kPa)	Avg uP (kPa)
192.195	126.656	0.8219509752366795
192.632	128.19299999999998	0.8319255413759761
192.68	128.688	0.8351379097812799
192.926	130.283	0.8454888746428143
192.94799999999998	130.439	0.8465012574129707
193.248	132.58100000000002	0.8604020516031945
193.555	134.816	0.8749063816756267
193.826	136.933	0.8886449350372996
194.16400000000002	139.357	0.9043758057735751
194.523	142.06799999999998	0.9219692012216125
194.731	143.787	0.9331248805927586
195.373	148.648	0.9646709872961559
195.635	150.905	0.9793180892977128
196.541	158.30200000000002	1.0273219056492928
196.581	158.528	1.028788562739391
197.44099999999997	165.94400000000002	1.0769156821206698
197.792	168.843	1.0957291285994082
198.329	173.73	1.1274439657644983
198.989	179.571	1.165349912947083
199.27200000000002	182.269	1.1828589431642742
200.15099999999998	190.554	1.236625553745975
200.155	190.607	1.2369695043025024
200.19099999999997	190.834	1.2384426510257427
200.995	199.05	1.2917614769206436
201.049	199.33	1.2935785742004116
202.195	210.993	1.3692671655358821
203.195	224.94099999999997	1.4597845686008866
203.673	226.88	1.4723679672632786
205.148	243.515	1.580323014580912
206.34599999999998	257.904	1.6737023458615508
206.49400000000003	259.557	1.6844297094453229
208.275	282.35400000000004	1.832373876184132
210.31599999999997	309.753	2.010183334642553
212.355	339.311	2.2020039110546117
223.188	537.023	3.4850822588312225
233.18200000000002	780.203	5.063231246309555
273.15	2639.52	17.129516471045353
278.947	3070.15	19.924147190996806
284.643	3526.11	22.883160318435824
288.14099999999996	3840.22	24.92161898467819
293.33799999999997	4336.71	28.1436569433636
303.2	5476.0	35.53723108574451
308.608	6182.85	40.1244282721869
308.608	6138.27	39.83512042671529
