T (K)	rhol (kg/m3)	urho (kg/m3)
104	654.593	0.103
104	654.593	0.103
105	653.327	0.103
105	653.329	0.103
105	653.324	
105.01	653.905	0.449
105.17	653.178	0.217
105.18	653.391	0.218
107	650.792	0.102
107	650.793	0.102
107.49	650.347	0.216
107.51	650.452	0.216
110	646.977	0.102
110	646.977	0.102
110	646.977	
110.011	647.455	0.449
110.011	647.257	
112.151	644.342	0.213
112.171	644.505	0.213
115	640.591	0.101
115	640.592	0.101
116.842	638.287	0.209
116.862	638.505	0.209
120	634.167	0.1
120	634.169	0.1
120.013	633.804	
121.543	632.246	0.212
121.553	632.459	0.205
123.743	628.6	
125	627.702	0.099
125	627.704	0.099
125	627.699	
126.154	625.5	
126.254	626.094	0.203
126.274	626.247	0.203
130	621.191	0.098
131.034	619.2	
131.454	619.335	0.198
131.474	619.43	0.198
132.284	617.7	
135	614.631	0.097
135.014	615.185	0.449
136.214	613.269	0.196
137.014	611.7	
137.534	610.8	
140	608.015	0.096
140	608.01	
140.014	608.486	0.449
140.014	608.519	0.617
140.974	606.94	0.192
142.064	605.1	
143.258	604.47	0.37
143.258	604.49	0.3
143.258	604.49	0.6
145	601.338	0.095
145.744	600.548	0.189
146.454	599.2	
150	594.594	0.094
150	594.596	0.094
150.014	595.025	0.589
150.524	594.012	0.185
152.314	591.4	
155	587.776	0.093
155.314	587.408	0.182
157.664	583.8	
158.482	583.78	0.385
158.482	583.8	0.3
158.482	583.8	0.6
160	580.87	0.092
160	580.86	
160.014	581.251	0.589
160.124	580.744	0.178
161.394	578.731	0.716
164.944	573.96	0.175
165	573.873	0.091
165.233	573.9	
165.478	569.6	10.1
167.28	567.4	10.1
167.78	571	1
168.18	566.9	10.1
169.783	567.068	0.171
170	566.773	0.089
170.013	566.997	0.449
170.013	567.084	0.561
170.172	567.38	0.397
170.172	567.4	0.3
170.172	567.4	1
170.182	565.7	10.1
171.433	564.9	
172	563.901	0.089
173.785	563.1	10.1
174.543	560.105	0.168
174.623	560.005	0.168
175.072	560	
176	558.091	0.088
180	552.204	0.087
180	552.205	0.087
180	552.2	
180.012	552.495	0.561
185	544.716	0.086
190	537.072	0.085
190.012	537.374	0.533
195	529.251	0.084
200	521.235	0.082
200	521.227	
200.011	522.061	
200.011	521.484	0.37
205	513	0.081
205.011	513.2	
209.786	505.86	0.437
209.786	505.88	0.3
209.786	505.88	1
210	504.518	0.08
210	504.519	0.08
210.01	504.5	
210.01	505.132	
210.01	504.731	0.35
215	495.76	0.079
215.01	495.6	
220	486.683	0.077
220	486.692	
220.009	486.1	
220.009	487.142	
220.009	486.858	0.35
225	477.247	0.076
225.009	476.4	
225.037	478.2	0.452
225.037	478.22	0.3
225.037	478.22	1
230	467.392	0.074
230.008	466.4	
230.008	467.523	0.35
235	457.049	0.073
235	457.069	
235	457.418	
235.007	456.3	
236.05	456.08	0.463
236.05	456.1	0.3
236.05	456.1	1
238.157	449.891	
240	446.127	0.071
240	446.128	0.071
240.007	445.6	
240.007	446.505	
240.007	446.196	0.35
243.156	438.625	
245	434.51	0.069
245.006	434	
248.155	426.419	
248.839	426.54	0.476
248.839	426.55	0.3
248.839	426.55	1
250	422.035	0.067
250	422.065	
250	422.898	
250.005	421.8	
250.005	419.828	0.421
250.005	422.002	0.3
252.067	414	2
253.154	412.886	
253.96	413.12	0.481
253.965	413.13	0.3
253.965	413.13	2
254	411.283	0.066
255.004	408.6	
257	402.664	0.065
258.153	398.574	
258.981	398.54	0.486
258.981	398.55	0.3
258.981	398.55	2
260	393.465	0.063
260	393.624	
260.003	393.8	
260.003	393.274	0.3
262.229	388.17	0.489
262.229	388.18	0.3
262.229	388.18	2
262.999	383.553	0.062
263.152	382.324	
265.456	377.2	0.492
265.456	377.21	0.4
265.456	377.21	2
265.999	372.736	0.06
268.151	363.618	
268.999	360.729	0.059
270	356.693	
270.001	355.934	0.3
270.999	351.842	0.058
270.999	351.842	0.058
272.67	343.765	
272.998	342.001	0.057
273.068	342.837	
