T (K)	gamma (N/m)	Avg ugamma (N/m)
116.012	0.02576	0.00022538980376553521
117.913	0.02545	0.00022267742646866736
119.713	0.024980000000000002	0.00021856511250244835
122.413	0.02453	0.00021462779061989822
124.01299999999999	0.02423	0.00021200290936486483
126.414	0.023790000000000002	0.00020815308352414917
128.014	0.02344	0.00020509072205994352
130.514	0.02299	0.0002011534001773934
132.814	0.02253	0.00019712858225300886
134.914	0.02219	0.00019415371683063768
137.014	0.021759999999999998	0.00019039138703175643
160.774	0.0181	0.00015836783572034888
164.27700000000002	0.01754	0.00015346805737761986
168.28099999999998	0.016669999999999997	0.00014585590173802295
169.081	0.016569999999999998	0.0001449809413196785
176.037	0.01522	0.00013316897567202816
180.43900000000002	0.01444	0.0001263442844089413
184.892	0.01366	0.00011951959314585446
