T (K)	gamma (N/m)	ugamma (N/m)
95.458	0.03218	0.00087
99.629	0.03132	0.00085
104.7	0.03037	0.00082
109.371	0.02945	0.0008
117.813	0.02708	0.00016
119.843	0.02668	0.00016
120.913	0.02648	0.00016
122.383	0.0264	0.00016
124.713	0.026	0.00016
124.813	0.02596	0.00016
125.574	0.02574	0.00016
125.914	0.02567	0.00016
127.434	0.02551	0.00016
128.214	0.02538	0.00016
128.714	0.02534	0.00016
129.201	0.025	0.00026
130.074	0.02496	0.00016
133.201	0.02454	0.00026
133.534	0.02437	0.00016
135.174	0.0242	0.00016
136.684	0.02392	0.00016
137.104	0.02372	0.00025
144.774	0.023	0.00062
149.113	0.02175	0.00023
149.744	0.02212	0.0006
150.615	0.02168	0.00023
154.954	0.02124	0.00058
155.919	0.02071	0.00022
157.521	0.02046	0.00022
159.814	0.0204	0.00055
161.324	0.01986	0.00021
164.054	0.01965	0.00053
164.427	0.01928	0.0002
164.978	0.01917	0.00031
167.38	0.0189	0.00031
168.08	0.01873	0.00031
170.183	0.01876	0.00051
170.332	0.01831	0.00019
173.485	0.01785	0.0003
174.986	0.01774	0.0003
177.888	0.0171	0.00029
178.212	0.01742	0.00047
180.639	0.01663	0.00018
184.141	0.01625	0.00028
184.432	0.01645	0.00045
185.092	0.016	2.80E-04
189.432	0.01562	0.00043
190.094	0.01522	2.70E-04
194.395	0.01448	2.60E-04
194.432	0.01479	0.0004
198.981	0.01407	0.00038
199.195	0.01378	2.50E-04
204.731	0.01313	0.00036
210.16	0.01226	0.00034
214.67	0.01156	0.00032
219.979	0.01072	0.00029
225.058	0.00995	0.00027
228.988	0.00936	0.00026
234.248	0.00857	0.00024
239.507	0.00784	0.00022
245.916	0.00691	0.00019
249.475	0.00637	0.00018
257.214	0.005279	0.000151
260.683	0.004816	0.000138
265.622	0.004169	0.000122
270.761	0.003491	0.000105
273.55	0.00324	3.40E-04
274.49	0.003002	9.30E-05
274.62	0.00295	0.00068
277.148	0.00277	3.30E-04
279.171	0.0024	0.00068
283.244	0.00212	3.20E-04
283.791	0.00185	0.00068
283.918	0.001887	6.70E-05
288.616	0.001364	5.70E-05
289.14	0.0014	3.20E-04
290.666	0.001155	5.30E-05
291.253	0.00105	0.00068
293.105	0.000917	4.90E-05
293.153	0.00095	0.00068
294.164	0.00091	0.00068
295.044	0.00081	0.00068
299.137	0.00043	0.00068
300.084	0.0003015	4.24E-05
300.135	0.00028	3.00E-04
301.014	0.0002332	4.19E-05
302.433	0.0001332	4.08E-05
303.983	5.50E-05	3.99E-05
