T (K)	P (kPa)	uP (kPa)
190.557	6.36481	0.12
193.212	7.67	
195.558	9.10725	0.128
200.458	12.675	0.139
203.211	15.1	
205.287	17.2639	0.153
205.955	17.9	0.05
205.98	17.92	0.05
210.046	23.0301	0.172
210.167	23.04	0.06
210.182	23.06	0.06
213.15	27.75	2.49
213.21	27.5	
215.014	30.45	0.08
215.027	30.48	0.08
215.223	30.9988	0.196
219.819	39.62	0.1
219.833	39.63	0.1
219.95	40.162	0.225
223.209	47.3	
224.971	51.83	0.13
224.976	51.82	0.13
225.141	52.5237	0.263
229.992	66.7172	0.307
230.105	66.71	0.16
230.137	66.8	0.16
233.208	77.3	
234.928	83.63	0.19
234.941	83.72	0.19
235.006	84.3571	0.361
239.157	101.3	
239.477	101.325	3.04
239.871	104.39	0.24
239.886	104.46	0.24
240.076	105.838	0.427
243.15	120.31	6.21
243.15	121.76	6.29
243.206	120.5	
244.948	129.76	0.29
244.967	129.85	0.29
250.126	160.22	0.35
250.148	160.35	0.35
254.838	192.52	0.42
254.92	193.12	0.42
255.121	194.78	0.43
255.124	194.79	0.43
256.046	201.59	0.44
256.067	201.8	0.44
260.121	234.7	0.51
260.159	234.92	0.51
265.121	280.6	0.61
265.172	281.07	0.61
270.378	335.87	0.71
270.381	335.88	0.71
273.15	369.21	18.6
273.15	370.66	18.6
273.15	371.35	18.7
273.2	368.1	
323.15	1451.8	72.2
323.15	1455.1	72.4
334.094	1888	4
345.681	2377	5
353.279	2760	6
363.576	3314	7
373.024	3955	8
373.754	4014	8
374.024	4052	8
383.972	4747	10
391.341	5359	11
404.928	6596	13
416.726	7991	16
416.836	7974	16
416.866	7977	16
416.866	7991.4	40
