T (K)	P (kPa)	Avg uP (kPa)
190.55700000000002	6.364809999999999	0.06461592791848428
195.558	9.10725	0.0924573411516787
200.458	12.675	0.1286773503634497
205.287	17.2639	0.17526413482757866
205.955	17.9	0.18172185968487176
205.98	17.92	0.18192490086887725
210.046	23.0301	0.23380293858818804
210.167	23.04	0.2339034439742707
210.18200000000002	23.06	0.23410648515827615
213.15	27.75	0.28171964280755263
215.014	30.45	0.30913020264828744
215.02700000000002	30.48	0.3094347644242956
215.22299999999998	30.9988	0.3147016527373968
219.81900000000002	39.62	0.40222458551478324
219.833	39.63	0.402326106106786
219.95	40.162	0.40772700160133074
224.97099999999998	51.83	0.5261812283501064
224.976	51.82	0.5260797077581036
225.141	52.5237	0.5332237118173352
229.99200000000002	66.7172	0.6773169640763983
230.105	66.71	0.6772438692501562
230.137	66.8	0.6781575545781807
234.928	83.63	0.8490167109187613
234.94099999999997	83.72	0.8499303962467858
235.00599999999997	84.3571	0.8563982731632792
239.477	101.325	1.0286573984675773
239.87099999999998	104.39	1.0597734599164115
239.886	104.46	1.0604841040604305
240.076	105.838	1.0744736416384055
243.15	120.31	1.2213942423847444
243.15	121.76	1.236114728225139
244.94799999999998	129.76	1.3173312018273162
244.967	129.85	1.3182448871553407
250.12599999999998	160.22	1.6265629250676066
250.148	160.35	1.6278826927636418
254.838	192.52	1.9544744372363976
254.92	193.12	1.9605656727565608
255.12099999999998	194.78	1.9774180910290127
255.12400000000002	194.79	1.9775196116210152
256.046	201.59	2.046553614182866
256.067	201.8	2.0486855466149234
260.121	234.7	2.382688294303877
260.159	234.92	2.384921747327937
265.121	280.6	2.8486678115963704
265.172	281.07	2.8534392794204977
270.378	335.87	3.409772123595413
270.381	335.88	3.409873644187415
273.15	369.21	3.7482417773324865
273.15	370.66	3.7629622631728816
273.15	371.35	3.7699671840210693
323.15	1451.8	14.738759546955132
323.15	1455.1	14.772261342316028
334.094	1888.0	19.167087770113852
345.681	2377.0	24.13144471904694
353.279	2760.0	28.01968339275118
363.57599999999996	3314.0	33.64392418970196
373.024	3955.0	40.151394137076416
373.754	4014.0	40.75036562989248
374.024	4052.0	41.13614387950282
383.972	4747.0	48.191825023691976
391.341	5359.0	54.40488525425854
404.92800000000005	6596.0	66.96298248499521
416.726	7991.0	81.12510506937488
416.836	7974.0	80.95252006297025
416.866	7977.0	80.98297624057108
416.866	7991.4	81.12916589305499
