T (K)	P (kPa)	uP (kPa)
72.53	19.385	0.133
72.5302	19.425	0.133
75.18	28.7042	0.133
75.1802	28.7176	0.133
75.1805	28.7042	0.133
75.1807	28.6642	0.133
75.45	29.6641	0.133
75.53	30.0374	0.133
75.59	30.2508	0.133
75.88	31.7706	0.133
75.93	32.0106	0.133
76.7	36.1303	0.133
76.72	36.2636	0.133
76.7204	35.8636	0.133
78.96	48.9025	0.16
79.01	49.0358	0.16
79.02	49.1558	0.16
79.18	50.5024	0.16
79.1804	50.489	0.16
80.09	57.3285	0.173
80.0904	57.3285	0.173
80.96	64.0346	0.173
80.98	64.3012	0.173
81.19	65.7544	0.173
81.2	65.7811	0.173
81.22	66.0344	0.173
83.09	82.033	0.2
83.11	82.0864	0.2
83.45	85.646	0.2
83.48	85.966	0.2
84.13	91.5122	0.2
84.65	97.8583	0.213
84.68	98.8983	0.213
84.6803	98.565	0.213
84.73	98.6849	0.213
84.77	98.445	0.213
84.81	98.8449	0.213
85.25	104.724	0.227
85.27	105.858	0.227
85.28	104.018	0.227
85.32	105.804	0.24
85.4	106.351	0.24
85.81	112.137	0.24
85.99	113.99	0.253
