T (K)	rhol (kg/m3)	urho (kg/m3)
56.004	1689.41	
58.003	1677.43	
60.002	1665.47	
62.002	1652.74	
64.004	1640.07	
65.78	1638	4
66.006	1627.78	
66.03	1633.1	3.4
67.98	1621.8	3.4
68.008	1615.46	
70	1608.1	3.4
70.007	1602.66	
71.76	1594	4
72.005	1589.59	
72.55	1592	3.3
74.003	1576.57	
74.93	1578	4
75.01	1576.1	3.3
76.001	1563.2	
77.15	1560	40
77.22	1562.2	3.3
77.999	1549.97	
78.59	1550	4
78.62	1553	4
79.999	1536.54	
81.72	1532	3
81.73	1528	3
82	1522.96	
84.003	1509.11	
84.34	1514	3
85.05	1505	3
85.67	1505	3
86.008	1495.11	
86.91	1496	4
88.013	1480.93	
88.26	1481	4
88.5	1484	4
90.018	1466.38	
90.08	1472	3
91.55	1458	3
91.75	1460	3
92.02	1451.47	
94.021	1436.58	
94.7495	1434	3
96.021	1421.33	
97.5787	1412	3
98.021	1406.09	
100.019	1390.19	
100.228	1391	3
102.017	1373.92	
102.767	1370	3
104.015	1357.51	
106.012	1340.78	
108.011	1323.45	
110.009	1305.55	
112.007	1287.22	
114.007	1268.28	
116.005	1248.74	
118.004	1228.53	
120.002	1207.4	
122.001	1185.37	
124	1162.15	
126.001	1138.06	
128.001	1112.23	
130.001	1084.59	
132.001	1054.78	
134.002	1023.7	
136.003	986.856	
138.004	947.104	
140.006	899.683	
142.007	841.825	
