T (K)	P (kPa)	Avg uP (kPa)
72.53	19.385	0.061880648514746416
72.5302	19.425	0.062008336208354345
75.18	28.7042	0.09162932737152354
75.1802	28.7176	0.0916721027488822
75.1805	28.7042	0.09162932737152354
75.1807	28.6642	0.09150163967791561
75.45	29.6641	0.09469351279888001
75.53	30.0374	0.09588515819947609
75.59	30.2508	0.09656637204487442
75.88	31.7706	0.10141786596350799
75.93	32.0106	0.1021839921251556
76.7	36.1303	0.11533486690907103
76.72	36.2636	0.11576038614801948
76.7204	35.8636	0.11448350921194012
78.96	48.9025	0.15610618591655334
79.01	49.0358	0.15653170515550177
79.02	49.1558	0.15691476823632558
79.18	50.5024	0.16121337444163678
79.1804	50.489	0.1611705990642781
80.09	57.3285	0.18300359857506523
80.0904	57.3285	0.18300359857506523
80.96	64.0346	0.20441075962766986
80.98	64.3012	0.20526179810556675
81.19	65.7544	0.20990069201434314
81.2	65.7811	0.2099859235498264
81.22	66.0344	0.2107945058695987
83.09	82.03299999999999	0.2618651142434971
83.11	82.0864	0.26203557731446375
83.45	85.646	0.27339850516863407
83.48	85.96600000000001	0.27442000671749756
84.13	91.5122	0.29212454387470604
84.65	97.8583	0.3123825156848392
84.68	98.8983	0.3157023957186456
84.6803	98.565	0.3146384380116575
84.73	98.6849	0.31502118187324724
84.77	98.445	0.3142553749308336
84.81	98.8449	0.315531932647679
85.25	104.72399999999999	0.3342991506349395
85.27	105.85799999999999	0.3379190967487245
85.28	104.01799999999999	0.33204546284275943
85.32	105.804	0.3377467183623538
85.4	106.351	0.33949284757244236
85.81	112.137	0.3579628724528304
85.99	113.99	0.3638780048592181
