T (K)	rhol (kg/m3)	Avg urho (kg/m3)
65.78	1638.0	5.067416332917595
66.03	1633.1	5.052257395169551
67.98	1621.8	5.017299028526103
70.0	1608.1	4.974915876046877
71.76	1594.0	4.93129525926169
72.55	1592.0	4.925107937731876
74.93	1578.0	4.881796687023178
75.01	1576.1	4.875918731569855
77.15	1560.0	4.826110793254853
77.22	1562.2	4.832916846937648
78.59	1550.0	4.7951741856057835
78.62	1553.0	4.804455167900504
81.72	1532.0	4.739488291837458
81.73	1528.0	4.727113648777831
84.34	1514.0	4.683802398069133
85.05	1505.0	4.6559594511849705
85.67	1505.0	4.6559594511849705
86.91	1496.0	4.628116504300808
88.26	1481.0	4.581711592827204
88.5	1484.0	4.590992575121924
90.08	1472.0	4.553868645943041
91.55	1458.0	4.510557395234343
91.75	1460.0	4.5167447167641575
94.7495	1434.0	4.436309536876577
97.5787	1412.0	4.368249000048623
100.228	1391.0	4.303282123985578
102.76700000000001	1370.0	4.2383152479225314
