T (K)	P (kPa)	uP (kPa)
63.1521	12.52	
63.8308	14.15	
63.8769	14.3114	
64	14.605	0.068
64.016	14.6728	
64.1776	15.0624	0.00293
64.1777	15.0588	0.00293
64.1778	15.0613	0.00293
64.373	15.627	
64.555	16.1387	0.181
64.9452	17.2255	0.003
64.9495	17.2255	0.003
65	17.407	0.075
65.005	17.4	0.1
65.005	17.41	0.1
65.0373	17.5002	0.00301
65.039	17.5094	0.00301
65.0419	17.5203	0.00301
65.0631	17.6296	
65.3333	18.43	
65.393	18.64	
65.968	20.593	0.189
65.9816	20.6003	
66	20.625	0.09
66.006	20.64	0.12
66.1826	21.301	
66.292	21.6402	0.00316
66.3088	21.6911	0.00316
66.3274	21.7586	0.00316
66.3291	21.7642	0.00316
66.4091	22.0623	0.00317
66.4102	22.0654	0.00317
66.4121	22.0721	0.00317
66.654	22.96	
66.83	23.6781	
66.8354	23.6506	0.00323
66.8501	23.7057	0.00323
66.8576	23.74	0.00323
66.98	24.231	
66.9981	24.3419	
67.1915	25.0566	0.00328
67.1959	25.0658	0.00328
67.1998	25.0947	0.00328
67.2135	25.139	0.00328
67.2137	25.1403	0.00328
67.2137	25.1455	0.00328
67.367	25.8525	0.201
67.78	27.5844	
68	28.484	0.112
68.043	28.7318	
68.364	30.12	
68.3913	30.256	0.00346
68.3915	30.2574	0.00346
68.3939	30.2686	0.00346
68.4	30.4289	
68.4	30.4471	
68.437	30.3411	0.00346
68.4386	30.3426	0.00346
68.4412	30.36	0.00346
68.612	31.313	
68.63	31.4094	0.0725
68.63	31.4641	0.0725
68.799	32.3373	0.217
69.0485	33.5264	
69.34	34.8457	
69.49	35.9717	0.0744
69.5	35.9877	0.0744
69.5017	35.8	0.00365
69.5036	35.8057	0.00365
69.5054	35.8202	0.00365
69.61	36.0104	7.21
69.688	36.7463	
69.93	38.2435	0.0753
69.95	38.3742	0.0753
69.96	38.5702	0.0755
70	38.548	0.143
70.007	38.58	0.21
70.007	38.6	0.21
70.0104	38.6827	
70.093	39.093	
70.2106	39.8305	
70.293	40.0527	
70.356	40.75	0.237
70.637	42.0392	
70.69	42.628	
70.6901	42.5876	0.00389
70.6933	42.6061	0.00389
70.6966	42.6218	0.00389
70.797	43.0671	
70.86	43.9164	
71.1084	45.3085	
71.1895	45.8304	
71.54	48.1902	
71.54	48.2104	
71.6574	48.8137	0.00411
71.658	48.8205	0.00411
71.947	50.9878	0.264
71.97	51.042	
72	51.216	0.188
72.0052	51.352	
72.0941	51.8445	0.00421
72.0952	51.8576	0.00422
72.0968	51.8707	0.00422
72.1366	52.2881	
72.15	52.1114	
72.34	53.8342	0.0816
72.34	53.8582	0.0816
72.528	55.03	
73.1381	59.8644	
73.2702	60.9235	
73.318	61.201	
73.422	62.2255	0.295
73.7021	64.4888	
73.72	64.2307	
73.9597	66.5676	0.00473
73.9709	66.6212	0.00473
73.9797	66.6917	0.00473
74.0977	67.8955	
74.125	68.07	
74.83	74.636	
74.985	76.018	
74.9965	76.1483	
75	76.043	0.252
75.008	76.11	0.41
75.008	76.13	0.41
75.035	76.6257	0.331
75.044	76.6061	
75.069	76.7	
75.098	76.603	
75.272	78.4175	
75.36	79.8068	0.0919
75.38	79.9548	0.092
