T (K)	gamma (N/m)	ugamma (N/m)
78.09	0.00869	0.00007
79.23	0.00844	0.00006
79.62	0.00833	0.00007
80	0.00826	9.00E-05
80.008	0.00828	0.00031
81.01	0.00804	0.00007
81.8	0.00785	0.00006
82.23	0.00774	0.00007
82.57	0.0077	0.00006
82.58	0.00769	7.00E-05
82.9	7.57E-03	0.00007
83.37	0.00754	0.00006
83.56	0.00745	7.00E-05
83.82	7.42E-03	6.00E-05
84	0.0074	0.00007
84.18	0.0073	0.00007
84.63	0.00726	0.00007
85.38	0.0071	0.00006
85.98	0.00697	0.00007
87.01	0.00676	0.00005
87.77	0.00659	0.00007
87.99	0.00654	0.00007
88.34	0.00647	0.00005
89.42	0.00623	0.00006
89.8	0.00618	0.00005
90	0.00613	0.00007
90.008	0.0061	0.0003
90.67	0.00598	0.00006
91.03	0.00588	0.00007
91.318	0.00585	5.00E-05
92.448	0.00563	0.00005
94.308	0.00525	0.00005
95.858	0.00495	0.00005
97.199	0.00467	0.00005
99.479	0.00421	0.00005
100	0.0041	0.00005
100.429	0.00404	5.00E-05
102.019	0.0037	0.00004
104.75	0.00321	0.00004
105.84	0.003	4.00E-05
106.78	0.00282	0.00004
107.771	0.00266	0.00004
109.671	0.00231	0.00004
110.011	0.00222	0.00015
110.591	0.00215	0.00004
111.851	0.001937	0.000041
113.942	0.001584	0.000041
114.332	0.001525	0.000041
115	0.0014	0.00002
115.122	0.001401	0.00004
115.862	0.001285	0.00004
116.602	0.001168	0.00004
117.803	0.000985	0.00004
119.743	0.000712	0.00004
120.253	0.000644	0.00004
