T (K)	rhol (kg/m3)	urho (kg/m3)
64	863.723	0.25
64.79	862.2	
64.79	862.2	
65	859.605	0.25
66	855.436	
66	855.454	0.25
67.7	849.9	
68	847.062	0.251
70	838.541	
70	838.544	0.251
72	829.9	0.252
72.261	831.314	
73.12	826.5	
73.15	826.8	
74.85	819	
75	816.681	0.253
77.31	808.2	
77.31	806.043	
77.35	809.101	
77.35	803.384	
77.602	802.418	0.69
77.65	806.6	
78	803.154	0.254
78.06	804.3	
78.06	804.3	
78.15	804.961	
78.158	805.445	
78.845	799.7	0.38
78.882	796.803	0.68
78.988	797.42	
79.328	794.9	
79.933	794.74	0.38
80	793.953	
80.008	794.949	9.47
80.008	792.838	
81	789.275	0.255
81.083	786.446	0.684
81.248	785.93	
81.277	788.52	0.38
81.973	785.34	0.38
82.475	780.117	0.673
83	779.811	0.256
83.15	779.731	
83.548	774.57	
83.854	776.02	0.38
84.218	771.71	
84.512	770.123	0.656
85.498	767.04	
85.878	766.27	0.39
86	765.247	0.258
86	765.248	0.258
86.198	762.22	
86.419	760.733	0.661
87.748	755.92	
87.928	756.16	0.39
88.15	754.606	
88.958	748.44	
89.137	747.319	0.638
89.841	746.07	0.39
90	745.063	
90	745.056	0.26
90	745.057	0.26
90.008	746.443	8.95
90.008	744.2	
90.57	740.132	
90.64	743.3	
90.64	743.3	
91.018	737.327	0.0194
91.018	739.702	0.488
91.019	737.812	0.641
91.128	737.152	0.0194
91.668	734.69	
91.881	735.62	0.39
92.008	735.077	
92.337	730.482	0.629
93	729.228	0.263
93	729.23	0.263
93.158	729.379	
93.17	728.455	
93.847	724.82	0.39
93.938	725.212	
93.989	721.899	0.614
93.998	724.756	
94.248	720.65	
95.0079	719.206	
95.0829	718.906	
95.2994	714.825	
95.396	713.787	0.618
95.792	714.22	0.4
95.888	711.73	
96	712.707	0.265
96	712.708	0.265
96.008	712.119	
97.009	707.913	
97.193	704.046	0.602
97.811	702.57	0.4
98	701.272	
98	701.247	0.268
98.03	701.4	2.8
98.1685	702.135	
