T (K)	P (kPa)	Avg uP (kPa)
64.0	14.605	0.07255792791039219
64.1776	15.0624	0.07483030012718186
64.1777	15.0588	0.07481241525621457
64.1778	15.0613	0.07482483530549741
64.555	16.1387	0.08017737974443316
64.9452	17.2255	0.0855766235686724
64.9495	17.2255	0.0855766235686724
65.0	17.407	0.0864783191466071
65.005	17.4	0.08644354300861512
65.005	17.41	0.08649322320574651
65.0373	17.5002	0.08694133858387164
65.039	17.5094	0.08698704436523251
65.0419	17.5203	0.08704119578010572
65.968	20.593000000000004	0.10230642995266734
66.0	20.625	0.10246540658348775
66.006	20.64	0.10253992687918484
66.292	21.6402	0.10750894019626626
66.3088	21.6911	0.10776181239966502
66.3274	21.7586	0.1080971537303019
66.3291	21.7642	0.10812497464069547
66.4091	22.0623	0.10960594131718215
66.4102	22.0654	0.10962134217829289
66.4121	22.0721	0.10965462791037091
66.8354	23.6506	0.11749664702756052
66.8501	23.7057	0.11777038491375447
66.8576	23.74	0.11794078798991511
67.1915	25.0566	0.12448168274423366
67.1959	25.0658	0.12452738852559454
67.1998	25.0947	0.12467096429530425
67.2135	25.139	0.1248910475685963
67.2137	25.1403	0.12489750599422338
67.2137	25.1455	0.1249233396967317
67.367	25.8525	0.12843572963392083
68.0	28.484	0.1415090735090456
68.3913	30.256	0.15031240444072755
68.3915	30.2574	0.15031935966832594
68.3939	30.2686	0.1503750014891131
68.437	30.3411	0.15073518291831567
68.4386	30.3426	0.15074263494788537
68.4412	30.36	0.15082907849089397
68.63	31.4094	0.15604251837786184
68.63	31.4641	0.15631426905617052
68.79899999999999	32.3373	0.16065234386968333
69.49	35.9717	0.17870811471511497
69.5	35.9877	0.17878760303052518
69.5017	35.8	0.17785510573036903
69.5036	35.8057	0.17788342344273395
69.5054	35.8202	0.17795545972857446
69.61	36.0104	0.17890037707801343
69.93	38.2435	0.1899944618994237
69.95	38.3742	0.19064378207593097
69.96	38.5702	0.19161751393970616
70.0	38.548	0.19150722390207447
70.007	38.58	0.1916662005328949
70.007	38.6	0.1917655609271577
70.35600000000001	40.75	0.20244680331040613
70.6901	42.5876	0.21157603633526997
70.6933	42.6061	0.21166794469996303
70.6966	42.6218	0.2117459426094593
71.6574	48.8137	0.24250742387124344
71.658	48.8205	0.2425412064052928
71.947	50.9878	0.2533083955295785
72.0	51.216	0.2544420976281168
72.0941	51.8445	0.2575644980178245
72.0952	51.8576	0.25762957907606665
72.0968	51.8707	0.25769466013430875
72.34	53.8342	0.2674493668410568
72.34	53.8582	0.2675685993141721
73.422	62.2255	0.3091375106599184
73.9597	66.5676	0.3307091490563384
73.9709	66.6212	0.33097543491296266
73.9797	66.6917	0.3313256803027389
75.0	76.043	0.3777831230462138
75.008	76.11	0.37811598036699406
75.008	76.13	0.37821534076125685
75.035	76.6257	0.38067798813305975
75.36	79.8068	0.3964817556425256
75.38	79.9548	0.3972170225600702
75.613	82.0357	0.4075549747811407
75.6181	82.0715	0.40773282988687104
75.6186	82.0999	0.4078739216467242
75.6267	82.166	0.4082023077497626
75.6344	82.2683	0.4087105361664167
76.34	90.0273	0.4472574011206607
76.4687	91.0632	0.4524037727415012
76.4697	91.0757	0.4524658729879154
76.4704	91.08200000000001	0.4524971715121083
76.77	94.7442	0.47069105330556515
76.8532	95.3395	0.47364851544079667
76.8579	95.40100000000001	0.47395404865315477
76.8593	95.4163	0.4740300593547658
76.8594	95.4119	0.4740082000680279
76.94	96.5526	0.47967522015480535
77.008	97.2	0.4828915161170914
77.04	97.4787	0.48427610321114317
77.04	97.5346	0.4845538155131076
77.07	97.69200000000001	0.4853357818159557
77.35	101.335	0.5034342776309203
77.52	103.696	0.5151637721736411
77.5495	103.55	0.5144384412955227
77.5521	103.579	0.5145825138672038
77.5535	103.586	0.5146172900051957
77.557	103.67	0.5150346036610994
77.5665	103.75299999999999	0.5154469492972898
77.5678	103.762	0.5154916614747082
77.5693	103.774	0.5155512777112659
77.582	103.939	0.5163710009639337
77.6398	104.639	0.5198486147631309
77.6406	104.656	0.5199330710982544
77.6412	104.65799999999999	0.5199430071376805
77.6607	104.916	0.5212247562236704
77.6638	104.97399999999999	0.5215129013670323
77.6642	104.977	0.5215278054261718
77.6644	104.97399999999999	0.5215129013670323
77.6654	104.95700000000001	0.5214284450319091
77.8	106.59	0.5295412212234647
77.8	106.60700000000001	0.5296256775585881
78.0	109.25200000000001	0.5427660896998403
78.008	109.755	0.545265003615549
78.06	109.694	0.5449619544130476
78.07	109.759	0.5452848756944015
78.19	111.96799999999999	0.5562592312407252
78.23	112.369	0.5582514071456939
78.3	112.52	0.5590015781223778
79.44	128.855	0.6401541801365
79.8	133.321	0.662341356175378
80.008	136.86	0.6799231779401763
80.008	136.99	0.6805690205028843
81.0	152.506	0.7576528143719459
82.0	171.45	0.8517669798176473
82.15	173.85	0.8636902271291804
83.0	187.79	0.9329444219303353
84.508	218.56	1.085810388503616
85.008	228.8	1.1366829103661575
85.008	228.92	1.1372790727317341
85.008	228.95	1.1374281133231283
85.008	229.06	1.1379745954915736
85.7	247.18	1.2279951126936488
85.95	252.78	1.255816023087226
86.0	251.732	1.2506095384278564
86.0	251.736	1.250629410506709
87.33	281.177	1.3968928788812285
90.0	360.45	1.7907227056008805
90.0	360.459	1.7907674177782988
