T (K)	gamma (N/m)	Avg ugamma (N/m)
78.09	0.00869	0.00014652017120918683
79.23	0.008440000000000001	0.00014230497641030344
79.62	0.008329999999999999	0.0001404502906987947
80.0	0.00826	0.00013927003615510738
80.008	0.00828	0.00013960725173901804
81.01	0.00804	0.00013556066473209
81.8	0.00785	0.00013235711668493861
82.23	0.00774	0.00013050243097342994
82.57	0.0077	0.00012982799980560859
82.58	0.007690000000000001	0.00012965939201365324
82.9	0.00757	0.00012763609851018922
83.37	0.007540000000000001	0.0001271302751343232
83.56	0.00745	0.0001256128050067252
83.82	0.00742	0.0001251069816308592
84.0	0.0074	0.0001247697660469485
84.18	0.0073	0.00012308368812739514
84.63	0.007259999999999999	0.0001224092569595738
85.38	0.0071	0.00011971153228828843
85.98	0.0069700000000000005	0.00011751963099286908
87.01	0.0067599999999999995	0.00011397886736180701
87.77	0.00659	0.0001111125348985663
87.99	0.006540000000000001	0.00011026949593878964
88.34	0.00647	0.00010908924139510227
89.42	0.006229999999999999	0.00010504265438817421
89.8	0.00618	0.00010419961542839753
90.0	0.00613	0.00010335657646862086
90.008	0.0061	0.00010285075309275486
90.67	0.00598	0.00010082745958929082
91.03	0.00588	9.914138166973746e-05
91.318	0.00585	9.863555829387145e-05
92.448	0.00563	9.492618687085406e-05
94.30799999999999	0.00525	8.851909077655131e-05
95.85799999999999	0.00495	8.346085701789124e-05
97.199	0.0046700000000000005	7.873983884314183e-05
99.479	0.00421	7.098388041319639e-05
100.0	0.0041	6.91291947016877e-05
100.429	0.00404	6.811754794995567e-05
102.01899999999999	0.0037	6.238488302347425e-05
104.75	0.00321	5.41231012176628e-05
105.84	0.003	5.058233758660075e-05
106.78	0.00282	4.75473973314047e-05
107.771	0.00266	4.484967266011933e-05
109.671	0.00231	3.8948399941682576e-05
110.01100000000001	0.0022199999999999998	3.7430929814084545e-05
110.59100000000001	0.00215	3.62506752703972e-05
111.851	0.0019370000000000001	3.265932930174855e-05
113.94200000000001	0.001584	2.6707474245725193e-05
114.33200000000001	0.001525	2.5712688273188714e-05
115.0	0.0014	2.3605090873747013e-05
115.12200000000001	0.001401	2.3621951652942545e-05
115.86200000000001	0.001285	2.166610126626065e-05
116.602	0.001168	1.9693390100383223e-05
117.803	0.000985	1.6607867507600578e-05
119.743	0.000712	1.200487478721991e-05
120.25299999999999	0.000644	1.0858341801923628e-05
