T (K)	P (kPa)	uP (kPa)
60	0.725807	
60.003	0.72927	0.008
61	1.07858	0.432
61.003	0.93592	0.0107
61.042	0.933	
61.431	1.03585	
62	1.18729	
62.004	1.1919	0.0131
62.119	1.2132	
63.004	1.50388	0.016
63.069	1.5465	
63.14	1.548	
64	1.8781	
64.005	1.88385	0.0267
64.048	1.8532	
64.407	2.0265	
64.5	2.3798	0.952
64.991	2.3198	
65.002	2.3465	
65.005	2.34114	0.0253
66	2.88192	
66.006	2.8891	0.0307
66.025	2.9064	
66.69	3.35572	0.048
66.7	3.36506	0.048
66.978	3.466	
66.999	3.53193	
67.006	3.53971	0.0387
67.163	3.64953	
67.956	4.253	
68	4.30191	
68.007	4.31031	0.0467
68.357	4.6083	
68.989	5.1862	
69.007	5.21557	0.056
69.31	5.51629	
69.511	5.72559	
69.988	6.2528	
70.007	6.27282	0.0667
70.141	6.3861	
70.9	7.42206	0.0496
70.91	7.43939	0.0496
70.974	7.4261	
70.995	7.466	
71.007	7.50205	0.08
71.8	8.6926	
72.007	8.92327	0.0947
72.47	9.6125	
72.622	9.89954	
73.007	10.5578	0.111
73.082	10.6391	
73.491	11.3857	
73.929	12.2257	
74.007	12.431	0.131
74.133	12.6827	
74.219	12.8585	
74.487	13.3589	
74.999	14.5457	
75.008	14.5655	0.152
75.03	14.5588	
75.15	14.799	
75.989	16.8653	
76.008	16.9893	0.177
76.233	17.5786	
76.534	18.3852	
76.944	19.5462	
76.996	19.6117	
77.008	19.7304	0.205
77.204	20.3086	
77.224	20.3682	
77.44	21.0351	0.709
77.7	21.33	
77.73	22.0062	0.0555
77.73	22.0275	0.0555
78.008	22.8181	0.237
78.026	22.7581	
78.36	23.9154	0.0563
78.38	24.0247	0.0563
78.524	24.5047	
78.735	25.2983	
78.8	25.8581	0.78
79.008	26.2818	0.273
79.042	26.3445	
79.918	29.7042	
80.008	30.1549	0.312
80.009	30.0775	
80.171	30.7041	
80.391	31.7557	
80.64	32.8893	0.0599
80.65	32.932	0.0599
80.96	34.7139	0.902
80.966	34.2823	
81.008	34.4705	0.356
81.045	34.53	
81.557	37.0435	
82.008	39.2634	0.405
82.106	39.6634	
82.522	41.8099	
82.581	42.1432	
82.692	42.7298	
82.748	43.0365	
83.008	44.571	0.467
83.01	44.8667	1.06
83.019	44.503	
83.215	45.596	
83.359	46.4228	
83.641	48.076	
83.828	49.3375	
83.887	49.6951	
83.96	50.1905	0.0668
83.97	50.1852	0.0668
84.008	50.4292	0.519
84.113	50.9158	
84.148	51.1691	
84.31	52.5877	1.3
84.417	52.8757	
84.76	55.0755	
84.95	56.4087	
85.0081	56.878	0.585
85.047	57.1489	
85.21	58.1152	
85.217	58.3112	
