T (K)	gamma (N/m)	ugamma (N/m)
79.76	0.01588	0.0001
80	0.01585	0.00016
80.008	0.01574	0.00052
80.07	0.01572	0.00034
82.56	0.01508	3.30E-04
84.32	1.47E-02	0.00032
84.45	0.01469	0.00009
85.88	0.01424	3.20E-04
86.42	1.42E-02	9.00E-05
87.5	0.01385	0.00031
89.58	0.01337	0.00008
90	0.01327	0.00014
90.008	0.0132	0.0005
90.15	0.0132	0.0002
91.058	0.01299	0.00008
93.968	0.01233	0.00008
100	0.0108	0.00011
100.009	0.0108	0.0004
100.069	0.01084	0.00007
102.62	0.01019	0.00007
104.99	0.00963	0.00007
109.781	0.00851	0.00006
110.011	0.00841	0.00031
112.802	0.00783	0.00006
115	0.00729	0.00008
115.082	0.00728	0.00006
117.963	0.00664	0.00005
119.633	0.00627	0.00005
120	0.00614	7.00E-05
121.933	0.00577	0.00005
122.263	0.00565	0.00005
124	0.0053	0.00006
124.103	0.00528	0.00005
127.624	0.00453	0.00005
128	0.00445	5.00E-05
129.024	0.00424	0.00005
130.574	0.00392	0.00004
132	0.00365	4.00E-05
132.364	0.00355	0.00004
133.204	0.0034	0.00004
135.704	0.0029	0.00004
135.774	0.00286	0.00004
137.174	0.00264	0.00004
138.284	0.00241	0.00004
139.624	0.00217	0.00004
140.804	0.001957	0.000041
141.244	0.001887	0.000041
144.614	0.001311	0.00004
146.864	0.000959	0.00004
