T (K)	rhol (kg/m3)	urho (kg/m3)
54.361	1309.58	
55.999	1299.6	
55.999	1299.15	
56	1302.1	
58	1292.98	
58.001	1290.63	
58.001	1290.26	
58.001	1290.5	1.9
60	1283.85	
60.003	1281.71	
60.003	1281.46	
60.003	1281.7	1.9
61.431	1275.37	
62	1274.71	
62.004	1272.54	
62.004	1272.78	
64	1265.56	
64.005	1263.65	
64.005	1263.73	
64.005	1263.8	1.8
64.6691	1257.54	
66	1256.39	
66.006	1254.75	
66.006	1254.83	
66.006	1254.8	1.8
66.999	1252.09	
67.163	1249.63	
68	1247.2	
68.007	1245.81	
68.007	1245.55	
68.007	1245.8	1.8
68.357	1246.01	
68.4	1246.01	1.27
69.28	1243.9	
69.31	1243.87	
69.48	1241.2	
69.511	1241.17	
70.007	1236.83	
70.007	1236.88	
70.007	1236.7	1.8
72.007	1227.61	
72.007	1227.38	
72.007	1227.6	1.8
72.59	1225.6	
72.622	1225.57	
74.007	1218.02	
74.007	1218.52	
74.007	1218.3	1.8
74.133	1219.47	
74.219	1217.03	
74.7718	1210.97	
74.999	1215.2	
75.01	1215.2	1.24
76.008	1209.02	
76.008	1208.85	
76.008	1209	1.7
76.233	1209.57	
76.944	1206.07	
77.17	1204.3	
77.19	1204.9	
77.204	1204.27	
77.224	1204.87	
77.65	1200	4
78.008	1199.96	
78.008	1199.77	
78.008	1199.7	1.7
78.735	1197.97	
78.928	1192.33	
79.238	1190.34	
79.288	1191.55	
79.788	1187.93	
80.008	1193.06	14.7
80.008	1190.65	
80.008	1190.39	
80.008	1190.3	1.7
80.07	1190.6	0.1
80.103	1185.99	0.791
80.164	1185.11	0.79
80.1836	1187.15	
80.391	1188.54	
80.966	1186.57	
81.557	1184.32	
81.558	1180.83	
81.571	1184.31	1.21
82	1179.2	
82.008	1181.19	
82.008	1180.73	
82.008	1180.8	1.7
82.56	1178.7	0.1
82.628	1174.38	
83.218	1171.19	0.772
83.518	1169.82	
83.598	1171.23	
83.828	1172.52	
83.887	1172.47	
84.008	1171.2	
84.008	1171.22	
84.282	1166.19	0.765
84.32	1170.1	0.1
85.047	1166.97	
85.18	1166.3	
85.217	1166.27	
85.408	1162.04	
85.4198	1163.63	
85.448	1164.97	
85.558	1159.6	
85.6	1164.6	
85.638	1164.57	
85.88	1163.1	0.1
86.008	1161.47	
86.008	1161.46	
86.008	1161.5	1.7
86.06	1162.6	
86.098	1162.57	
86.448	1160.17	
86.51	1159	
86.548	1158.97	
86.836	1153.75	0.749
87.16	1156.8	
87.198	1156.77	
87.327	1155.39	
87.468	1155.17	
87.478	1150.63	
87.5	1154.9	1
87.761	1154.32	
87.779	1154.32	1.18
88.008	1151.78	
88.008	1151.83	
88.018	1148.2	
88.054	1147.95	0.741
88.15	1145	2
88.158	1145	
88.45	1150.7	
88.489	1150.67	
88.94	1147.6	
88.959	1148.17	
88.979	1147.57	
89.948	1138.65	
90	1141.93	1.02
90.008	1138.31	
90.008	1142.79	40.8
90.008	1142.01	
90.008	1141.98	
90.008	1141.9	1.7
90.07	1141.22	
90.15	1146	4
90.19	1140.83	1
90.2989	1140.81	
90.625	1135.16	0.725
91.785	1129.63	0.758
92	1131.82	1.01
92.008	1131.94	
92.008	1131.87	
92.408	1126.62	
92.458	1126.12	
93.17	1121	2
93.17	1121	5
93.846	1122.8	
94	1121.69	1
94.008	1121.9	
94.008	1121.95	
94.008	1121.9	1.6
94.525	1115.65	0.739
94.538	1120.11	
94.608	1120.11	
94.818	1114.91	
94.948	1113.64	
95.348	1111.54	0.734
96	1111.26	1.01
96.008	1111.58	
96.008	1111.42	
96.008	1112.66	
97.479	1101.37	
98	1100.9	1
98.009	1101.1	
98.009	1101.12	
98.009	1101.3	1.6
98.158	1097.17	0.715
98.1685	1095	2
99.797	1088.52	0.704
99.859	1089.14	
99.909	1088.38	
100	1090.36	1.01
100.009	1088	13.3
100.009	1090.85	
100.009	1090.59	
100.009	1090.78	
100.009	1090.81	
100.43	1088.84	
100.819	1087.61	
101.86	1077.41	0.689
102.009	1080.43	
102.009	1079.93	
102.009	1080	1.6
102.499	1074.85	
103.167	1068	2
103.167	1068	5
104.01	1069.41	
104.01	1069.09	
104.79	1062.13	
104.807	1061.65	0.704
105.1	1060.97	
105.396	1058.2	0.7
105.91	1059.41	
105.977	1058.71	
106.01	1058.53	
106.01	1058.14	
106.01	1058.1	1.5
107.711	1046.05	
108.011	1047.25	
108.011	1046.72	
108.162	1041	2
109.456	1035.57	0.67
110.011	1028.87	13.2
110.011	1035.58	
110.011	1035.52	
110.011	1035.4	1.5
110.286	1030.47	0.664
110.931	1027.56	
111.686	1025.79	
111.747	1026.2	
112.011	1023.47	
112.011	1023.62	
112.011	1023.57	
112.622	1017.56	
113.157	1011	2
113.157	1011	5
113.985	1008.99	0.636
114.012	1011.85	
114.012	1011.65	
114.012	1011.7	1.5
114.441	1005.88	0.664
114.992	1003.24	
115.142	1002.2	
116.012	999.424	
116.012	999.298	
116.624	995.592	
117.221	992.943	
117.232	992.945	
117.594	986.649	0.639
117.956	984.342	0.636
118.013	986.579	
118.013	986.978	
118.013	986.9	1.4
118.154	981	2
118.253	982.77	
118.753	982.371	1.5
119.163	981	
120.013	974.058	
120.013	974.051	
120.013	973.9	1.4
120.013	972.953	
120.073	970.9	
120.073	973.699	
121.412	961.652	0.607
121.801	962.714	
122.013	960.874	
122.013	960.612	
122.013	960.6	1.4
122.633	953.63	
122.724	955.748	
123.117	952.996	
123.15	948	2
123.15	948	5
124.013	947.12	
124.013	946.981	
124.013	946.8	1.4
124.417	943.877	
125.214	937.893	1.44
125.324	934.99	
126.014	932.726	
126.014	932.614	
126.014	932.6	1.4
127.078	924.774	
127.604	918.37	
128.014	918.033	
128.014	917.895	
128.014	917.8	1.3
128.15	912	2
128.486	914.852	
128.514	913.831	1.41
129.73	904.775	
130.014	902.734	
130.014	902.632	
130.014	902.5	1.3
130.034	899.85	
130.291	901.032	
130.294	901.028	1.28
130.976	894.664	
131.961	886.953	
132.014	886.731	
132.014	886.633	
132.124	885.289	1.38
132.484	880.06	
133.151	873	2
133.151	873	5
133.558	873.545	
134.014	870.068	
134.014	869.738	
134.684	861.47	
134.717	863.37	
134.754	860.8	
135.076	860.871	
135.354	857.258	1.31
136.014	852.561	
136.014	852.139	
136.014	852	1.2
136.895	843.851	
137.494	835.95	
137.793	835.343	
138.014	834.036	
138.014	833.292	
138.014	833.2	1.2
138.155	828	2
138.708	826.476	
139.647	816.813	
139.734	814.52	
140.014	813.767	
140.014	813.165	
140.014	813.2	1.2
140.014	815.038	
140.774	805.175	
140.916	803.726	
141.221	800.664	
142.014	792.826	
142.014	791.439	
142.014	791.5	1.2
142.304	786.93	
142.449	786.511	
143.158	775	2
143.158	775	5
143.7	771.664	
143.763	771.382	
144.014	768.814	
144.014	767.696	
144.014	767.9	1.2
144.564	760.12	
145.875	743.57	
145.926	743.166	
145.961	742.487	
146.014	742.522	
146.014	741.202	
146.014	741.5	1.1
147.459	720.467	
147.904	711.54	
148.014	713.337	
148.014	711.22	
148.014	711.4	1.1
148.162	705	2
148.31	705.61	
149.025	694.325	
149.324	684.97	
149.967	676.46	
150.014	679.179	
150.014	675.3	
150.014	675.35	
150.014	675.5	1.1
150.014	675.283	
150.764	658.18	
152.014	628.633	
152.314	620.19	
152.424	615.69	
153.014	596.3	
153.017	596.286	
153.167	590	1
153.167	590	6
153.467	579.5	
153.514	575.4	
153.518	575.385	
153.614	570.5	
153.618	570.46	
153.974	551.92	
154.014	547	
154.014	547.358	
154.018	546.987	
154.114	540.2	
154.115	539.6	
154.118	540.187	
154.119	539.585	
154.214	531.7	
154.218	531.688	
154.314	521.1	
154.318	521.087	
154.411	509.6	
154.415	509.587	
154.504	492.8	
154.509	492.788	
154.514	489.7	
154.519	489.688	
154.524	487.7	
154.529	487.688	
154.537	484	
154.542	483.989	
154.554	477.8	
154.558	475.8	
154.559	477.788	
154.56	474.2	
154.563	475.788	
154.565	474.188	
