T (K)	P (kPa)	Avg uP (kPa)
60.003	0.72927	0.006456511952689047
61.0	1.0785799999999999	0.00954908972250518
61.003	0.9359200000000001	0.008286065060623272
62.004	1.1919	0.01055235591263877
63.004	1.5038799999999999	0.013314436622115271
64.005	1.88385	0.016678459338891307
64.5	2.3798	0.021069298264030326
65.005	2.34114	0.020727026194576
66.006	2.8891	0.025578329949831925
66.69	3.35572	0.029709498937125742
66.7	3.3650599999999997	0.02979218960263799
67.006	3.53971	0.0313384342205945
68.007	4.310309999999999	0.038160856794870385
69.007	5.21557	0.046175476908533755
70.007	6.272819999999999	0.055535723815688165
70.9	7.422060000000001	0.0657103940976254
70.91	7.4393899999999995	0.06586382335172895
71.007	7.50205	0.06641857678866657
72.007	8.92327	0.07900119216760816
73.007	10.5578	0.09347232423396058
74.007	12.431	0.11005649496603116
75.008	14.5655	0.12895405658657605
76.008	16.9893	0.15041290402432575
77.008	19.7304	0.17468093220801073
77.44	21.0351	0.18623195054782096
77.73	22.0062	0.19482947787961347
77.73	22.0275	0.1950180550932549
78.008	22.8181	0.20201754547376688
78.36	23.9154	0.211732370662909
78.38	24.0247	0.21270004622398914
78.8	25.8581	0.22893185202164995
79.008	26.2818	0.23268303349676117
80.008	30.1549	0.26697309951340786
80.64	32.8893	0.29118180998200377
80.65	32.931999999999995	0.2915598497483177
80.96	34.7139	0.30733570594492077
81.008	34.4705	0.30518079074302773
82.008	39.2634	0.3476142051684714
83.008	44.571000000000005	0.39460445958740054
83.01	44.8667	0.3972224071026008
83.96	50.1905	0.4443560864445811
83.97	50.1852	0.4443091634759285
84.008	50.4292	0.44646939071200864
84.31	52.5877	0.4655794337000368
85.0081	56.878	0.5035631341547679
86.0081	63.9561	0.5662283161207454
86.19	65.2938	0.5780714963408452
86.3	66.0906	0.5851258777412902
86.31	66.1452	0.5856092728523148
87.0081	71.7048	0.6348305816298184
87.75	78.0912	0.6913718735171211
88.0081	80.1667	0.7097470851092696
88.39	83.5011	0.7392678297649476
88.41	83.7291	0.741286402756039
88.42	83.8771	0.7425967045221858
88.77	87.3016	0.7729151396449575
