T (K)	gamma (N/m)	Avg ugamma (N/m)
79.76	0.015880000000000002	0.00023631382147074937
80.0	0.01585	0.00023586738478031342
80.008	0.01574	0.00023423045024871503
80.07	0.015719999999999998	0.00023393282578842439
82.56	0.015080000000000001	0.0002244088430591247
84.32	0.0147	0.00021875397831360298
84.45	0.01469	0.00021860516608345767
85.88	0.014240000000000001	0.00021190861572691882
86.42	0.0142	0.00021131336680633758
87.5	0.01385	0.00020610493875125179
89.58	0.013369999999999998	0.00019896195170427696
90.0	0.013269999999999999	0.00019747382940282388
90.008	0.0132	0.00019643214379180674
90.15	0.0132	0.00019643214379180674
91.05799999999999	0.01299	0.00019330708695875528
93.96799999999999	0.012329999999999999	0.00018348547976916493
100.0	0.0108	0.00016071720855693282
100.009	0.0108	0.00016071720855693282
100.069	0.01084	0.00016131245747751403
102.62	0.010190000000000001	0.00015163966251806901
104.99	0.00963	0.00014330617762993173
109.781	0.00851	0.00012663920785365722
110.01100000000001	0.008409999999999999	0.00012515108555220415
112.802	0.00783	0.00011651997620377628
115.0	0.0072900000000000005	0.00010848411577592964
115.08200000000001	0.00728	0.00010833530354578433
117.963	0.006640000000000001	9.881132081648462e-05
119.633	0.00627	9.330526830110822e-05
120.0	0.00614	9.13707093092192e-05
121.93299999999999	0.00577	8.58646567938428e-05
122.26299999999999	0.00565	8.407891003209909e-05
124.0	0.0053	7.887048197701332e-05
124.103	0.00528	7.85728575167227e-05
127.624	0.004529999999999999	6.741194025582458e-05
128.0	0.00445	6.622144241466213e-05
129.024	0.00424	6.309638558161065e-05
130.57399999999998	0.00392	5.833439421696079e-05
132.0	0.00365	5.4316464003037476e-05
132.364	0.00355	5.2828341701584396e-05
133.204	0.0034	5.0596158249404766e-05
135.704	0.0029	4.315554674213936e-05
135.774	0.00286	4.256029782155813e-05
137.174	0.00264	3.928642875836135e-05
138.284	0.0024100000000000002	3.586374746501927e-05
139.624	0.00217	3.229225394153187e-05
140.804	0.001957	2.9122553439436803e-05
141.244	0.001887	2.8080867828419646e-05
144.614	0.0013109999999999999	1.9509283372049898e-05
146.864	0.000959	1.4271092870935051e-05
