T (K)	rhol (kg/m3)	Avg urho (kg/m3)
58.001000000000005	1290.5	2.887406202245365
60.003	1281.7	2.867716799238965
64.005	1263.8	2.827666763578219
66.006	1254.8	2.8075298741398553
68.007	1245.8	2.787392984701492
68.4	1246.01	2.7878628454550536
70.007	1236.7	2.7670323520471465
72.007	1227.6	2.746671719392801
74.007	1218.3	2.725863600306492
75.01	1215.2	2.7189275606110557
76.008	1209.0	2.705055481220183
77.65	1200.0	2.6849185917818192
78.008	1199.7	2.684247362133874
80.008	1193.06	2.669390812592681
80.008	1190.3	2.663215499831583
80.07	1190.6	2.663886729479528
80.10300000000001	1185.99	2.6535721672227663
80.164	1185.11	2.651603226922126
81.571	1184.31	2.649813281194272
82.008	1180.8	2.64195989431331
82.56	1178.7	2.637261286777692
83.21799999999999	1171.19	2.6204581712574577
84.28200000000001	1166.19	2.6092710104583667
84.32	1170.1	2.6180193702032555
85.88	1163.1	2.602357345084528
86.008	1161.5	2.598777453628819
86.836	1153.75	2.5814373543902285
87.5	1154.9	2.5840104013740195
87.779	1154.32	2.5827126907213245
88.054	1147.95	2.5684602478632828
88.15	1145.0	2.5618598229918192
90.0	1141.93	2.5549909062611773
90.008	1142.79	2.556915097918621
90.008	1141.9	2.554923783296383
90.15	1146.0	2.5640972551516374
90.19	1140.83	2.5525297308853774
90.625	1135.16	2.5398434905392087
91.785	1129.63	2.5274704906954137
92.0	1131.82	2.5323704671254155
93.17	1121.0	2.508161451156183
93.17	1121.0	2.508161451156183
94.0	1121.69	2.5097052793464574
94.008	1121.9	2.5101751401000194
94.525	1115.65	2.4961911891011557
95.348	1111.54	2.4869953429243026
96.0	1111.26	2.4863688619195536
98.0	1100.9	2.4631890647438377
98.009	1101.3	2.4640840376077646
98.15799999999999	1097.17	2.4548434427877157
98.1685	1095.0	2.4499882150009102
99.79700000000001	1088.52	2.435489654605288
100.0	1090.36	2.4396065297793537
100.009	1088.0	2.434326189882183
101.86	1077.41	2.4106317833097086
102.009	1080.0	2.4164267326036373
103.167	1068.0	2.389577546685819
103.167	1068.0	2.389577546685819
104.807	1061.65	2.375369852470974
105.396	1058.2	2.367650711519601
106.01	1058.1	2.367426968303619
108.162	1041.0	2.329166878370728
109.456	1035.57	2.3170176217429153
110.01100000000001	1028.87	2.3020268262721335
110.01100000000001	1035.4	2.3166372582757466
110.286	1030.47	2.305606717727843
113.15700000000001	1011.0	2.2620439135761825
113.15700000000001	1011.0	2.2620439135761825
113.985	1008.99	2.257546674934948
114.012	1011.7	2.2636101160880555
114.441	1005.88	2.2505882609179135
117.594	986.6489999999999	2.20756020305245
117.956	984.342	2.2023984470597497
118.01299999999999	986.9	2.2081217985245645
118.154	981.0	2.194920948781637
118.75299999999999	982.3710000000001	2.197988468272748
120.01299999999999	973.9	2.179035180446928
121.412	961.6519999999999	2.151631111353475
122.01299999999999	960.6	2.149277332721346
123.15	948.0	2.1210856875076374
123.15	948.0	2.1210856875076374
124.01299999999999	946.8	2.1184007689158553
125.214	937.893	2.098471960668355
126.014	932.6	2.086629232246437
128.014	917.8	2.053515236281128
128.15	912.0	2.0405381297541827
128.514	913.831	2.0446348680388096
130.014	902.5	2.01928252423591
130.29399999999998	901.028	2.0159890240966574
132.124	885.289	1.980774079333279
133.151	873.0	1.9532782755212734
133.151	873.0	1.9532782755212734
135.35399999999998	857.258	1.9180566184614158
136.014	852.0	1.9062922001650917
138.014	833.2	1.8642284755605099
138.155	828.0	1.8525938283294552
140.014	813.2	1.8194798323641463
142.014	791.5	1.7709275544960916
143.158	775.0	1.7340099238590916
143.158	775.0	1.7340099238590916
144.014	767.9	1.7181241555243825
146.014	741.5	1.6590559465051824
148.014	711.4	1.5917092384946552
148.162	705.0	1.5773896726718188
150.014	675.5	1.5113854239571825
153.167	590.0	1.3200849742927279
153.167	590.0	1.3200849742927279
